contest_id,draft_group_id,fantasy_player_points,is_double_up,is_fifty_fifty,is_guaranteed,is_head_to_head,is_starred,name,payout,sport,starts_at,entry_fee,entry_max,entry_total
142183125,83463,888.0,False,False,True,False,True,NBA $454K Mega 8's [$100K to 1st],454000.0,NBA,2023-03-09 00:00:00+00:00,888.0,568,36
142183120,83463,15.0,False,False,True,False,True,NBA $300K Fadeaway [$100K to 1st],300000.0,NBA,2023-03-09 00:00:00+00:00,15.0,23529,883
142183118,83463,4.0,False,False,True,False,True,NBA $80K Four Point Play [20 Entry Max],80000.0,NBA,2023-03-09 00:00:00+00:00,4.0,23781,710
142188021,83471,15.0,False,False,True,False,True,NBA Showdown $100K Fadeaway [$25K to 1st] (TOR vs LAC),100000.0,NBA,2023-03-09 03:00:00+00:00,15.0,7843,38
142183124,83463,88.0,False,False,True,False,True,NBA $60K Box Out [$10K to 1st],60000.0,NBA,2023-03-09 00:00:00+00:00,88.0,774,51
142170150,83463,100.0,False,False,True,False,True,NBA $35K Showtime [Single Entry],35000.0,NBA,2023-03-09 00:00:00+00:00,100.0,388,20
142170151,83463,100.0,False,False,True,False,True,NBA $15K Showtime [Single Entry],15000.0,NBA,2023-03-09 00:00:00+00:00,100.0,166,5
142188003,83469,15.0,False,False,True,False,True,NBA $100K Fadeaway [$25K to 1st] (Night),100000.0,NBA,2023-03-09 02:00:00+00:00,15.0,7843,20
142188004,83469,222.0,False,False,True,False,True,NBA $20K Slam Jam [3 Entry Max] (Night),20000.0,NBA,2023-03-09 02:00:00+00:00,222.0,100,1
142183119,83463,200.0,False,False,True,False,True,NBA $40K Splash [3 Entry Max],40000.0,NBA,2023-03-09 00:00:00+00:00,200.0,222,10
142170152,83463,40.0,False,False,True,False,True,NBA $25K Mid Range Jumper [Single Entry],25000.0,NBA,2023-03-09 00:00:00+00:00,40.0,728,17
142170153,83463,40.0,False,False,True,False,True,NBA $15K Mid Range Jumper [Single Entry],15000.0,NBA,2023-03-09 00:00:00+00:00,40.0,437,10
142183116,83463,1.0,False,False,True,False,True,NBA $35K And-One [20 Entry Max],35000.0,NBA,2023-03-09 00:00:00+00:00,1.0,41617,1521
142170145,83463,5.0,True,False,True,False,True,NBA Single Entry $5 Double Up,4000.0,NBA,2023-03-09 00:00:00+00:00,5.0,919,37
142170158,83463,25.0,True,False,True,False,True,NBA Single Entry $25 Double Up,6000.0,NBA,2023-03-09 00:00:00+00:00,25.0,275,17
142170164,83465,5.0,False,False,True,False,True,NBA Tiers $25K Zone [$5K to 1st],25000.0,NBA,2023-03-09 00:00:00+00:00,5.0,5945,404
142170166,83465,1.0,False,False,True,False,True,NBA Tiers $7.5K And-One,7500.0,NBA,2023-03-09 00:00:00+00:00,1.0,8917,795
142170168,83465,5.0,False,False,True,False,True,NBA Tiers $2K High Five [Single Entry] ,2000.0,NBA,2023-03-09 00:00:00+00:00,5.0,475,28
142170163,83465,50.0,False,False,True,False,True,NBA Tiers $1.5K Ankle Breaker [Single Entry],1500.0,NBA,2023-03-09 00:00:00+00:00,50.0,34,5
142170160,83465,150.0,False,False,True,False,True,NBA Tiers $1.9K Posterizer [Single Entry],1900.0,NBA,2023-03-09 00:00:00+00:00,150.0,14,3
142170176,83466,10.0,False,False,True,False,True,NBA Showdown $20K Pull Up Jumper [$5K to 1st] (ATL vs WAS),20000.0,NBA,2023-03-09 00:00:00+00:00,10.0,2352,105
142170174,83466,150.0,False,False,True,False,True,NBA Showdown $3K Posterizer [Single Entry] (ATL vs WAS),3000.0,NBA,2023-03-09 00:00:00+00:00,150.0,22,2
142170170,83466,5.0,False,False,True,False,True,NBA Showdown $1.5K High Five [Single Entry] (ATL vs WAS),1500.0,NBA,2023-03-09 00:00:00+00:00,5.0,356,19
