draft_group_id,game_id
83839,5895468
83839,5896650
83839,5897316
83839,5898018
83839,5899146
83839,5903407
83839,5903485
83839,5903953
83840,5895468
83840,5896650
83840,5897316
83840,5898018
83840,5899146
83840,5903407
83840,5903485
83840,5903953
83841,5895468
83841,5896650
83841,5897316
83841,5898018
83841,5899146
83841,5903407
83841,5903485
83841,5903953
83842,5899146
83843,5896650
83844,5897316
83844,5898018
83844,5903407
83845,5898018
83846,5903485
83846,5903953
83847,5903485
83847,5903953
83848,5903485
83850,5903485
83851,5903486
83852,5903490
