draft_group_id,game_id
84212,5897340
84212,5899620
84212,5903431
84213,5897340
84213,5899620
84213,5903431
84214,5897340
84214,5899620
84214,5903431
84215,5897340
84216,5903431
84218,5898324
84218,5900400
84218,5900790
84218,5902987
84218,5903965
84219,5898324
84219,5900400
84219,5900790
84219,5902987
84219,5903965
84220,5898324
84220,5900400
84220,5900790
84220,5902987
84220,5903965
84222,5898324
84223,5902987
84223,5903965
84224,5902987
84225,5902987
84226,5902988
84227,5902992
84229,5900790
84264,5898324
84264,5900400
