draft_group_id,game_id
83393,5897346
83390,5895240
83390,5897346
83390,5902957
83391,5895240
83391,5897346
83391,5902957
83392,5895240
83392,5897346
83392,5902957
83394,5902957
83399,5899602
83395,5895222
83395,5896554
83395,5897286
83395,5899014
83395,5899086
83395,5899602
83395,5900364
83397,5895222
83397,5896554
83397,5897286
83397,5899014
83397,5899086
83397,5899602
83397,5900364
83398,5895222
83398,5896554
83398,5897286
83398,5899014
83398,5899086
83398,5899602
83398,5900364
83401,5897286
83400,5897286
83400,5900364
83402,5895222
83403,5895222
83403,5899014
83403,5899086
83404,5899014
83405,5899014
83406,5899015
83407,5899019
