draft_group_id,game_id
84574,5895516
84574,5903005
84575,5895516
84575,5903005
84576,5895516
84576,5903005
84577,5895516
84578,5903005
84579,5895276
84579,5896362
84579,5896638
84579,5896734
84579,5898012
84579,5900094
84579,5903977
84580,5895276
84580,5896362
84580,5896638
84580,5896734
84580,5898012
84580,5900094
84580,5903977
84581,5895276
84581,5896362
84581,5896638
84581,5896734
84581,5898012
84581,5900094
84581,5903977
84582,5898012
84583,5900094
84583,5903977
84584,5900094
84585,5900094
84586,5900095
84587,5900099
