draft_group_id,game_id
84787,5895288
84787,5895534
84787,5896380
84787,5897556
84787,5898768
84787,5899248
84787,5899566
84787,5899656
84787,5900106
84787,5900412
84787,5900838
84787,5903533
84787,5903995
84860,5895288
84860,5895534
84860,5896380
84860,5897556
84860,5898768
84860,5899248
84860,5899566
84860,5899656
84860,5900106
84860,5900412
84860,5900838
84860,5903533
84860,5903995
84861,5900838
84862,5895288
84862,5896380
84862,5899656
84863,5899656
84864,5897556
84864,5898768
84864,5900412
84865,5898768
84866,5900106
84866,5903533
84866,5903995
84867,5900106
84867,5903533
84867,5903995
84868,5903533
84870,5903534
84871,5903538
