draft_group_id,game_id
83160,5895216
83160,5895234
83160,5895414
83160,5895804
83160,5897268
83160,5897844
83160,5898588
83160,5900070
83160,5902951
83160,5903773
83161,5895216
83161,5895234
83161,5895414
83161,5895804
83161,5897268
83161,5897844
83161,5898588
83161,5900070
83161,5902951
83161,5903773
83162,5895216
83162,5895234
83162,5895414
83162,5895804
83162,5897268
83162,5897844
83162,5898588
83162,5900070
83162,5902951
83162,5903773
83163,5895414
83164,5895216
83164,5897844
83165,5895216
83166,5895234
83166,5895804
83166,5897268
83167,5895804
83168,5898588
83168,5900070
83168,5902951
83168,5903773
83169,5898588
83169,5900070
83169,5902951
83169,5903773
83170,5902951
83171,5902951
83172,5902952
83173,5902956
83253,5898588
