draft_group_id,game_id
84011,5895270
84011,5895480
84011,5896350
84011,5897916
84011,5900394
84011,5902981
84011,5903425
84011,5903959
84115,5895270
84115,5895480
84115,5896350
84115,5897916
84115,5900394
84115,5902981
84115,5903425
84115,5903959
84116,5895270
84116,5895480
84116,5896350
84116,5897916
84116,5900394
84116,5902981
84116,5903425
84116,5903959
84117,5895480
84118,5896350
84118,5897916
84119,5897916
84120,5895270
84120,5900394
84120,5903425
84121,5895270
84122,5902981
84122,5903959
84123,5902981
84123,5903959
84124,5902981
84125,5902981
84126,5902982
84127,5902986
