EntryId,Username,EntryNumber,EntryTotal,Points,CPT,UTIL,UTIL,UTIL,UTIL,UTIL
3679400160,aramisj22,1,1,231.13,Marvin Bagley III,Donovan Mitchell,Darius Garland,Evan Mobley,Jarrett Allen,Dean Wade
3679336750,jmasley10,1,1,224.88,Donovan Mitchell,Darius Garland,Evan Mobley,Marvin Bagley III,Hamidou Diallo,Rodney McGruder
3679863029,k11elk,1,1,223.13,Marvin Bagley III,Darius Garland,Evan Mobley,Jarrett Allen,Jaden Ivey,Caris LeVert
3679586935,slamminsam,1,1,220.63,Darius Garland,Evan Mobley,Jaden Ivey,Marvin Bagley III,James Wiseman,Hamidou Diallo
3679860868,Joec870,1,1,213.88,Donovan Mitchell,Evan Mobley,Jaden Ivey,Marvin Bagley III,James Wiseman,Hamidou Diallo
3679723431,sherelsabin,1,1,211.88,Evan Mobley,Darius Garland,Jarrett Allen,Killian Hayes,Marvin Bagley III,Isaac Okoro
3679295788,pjc08,1,1,211.38,Darius Garland,Donovan Mitchell,Evan Mobley,Jarrett Allen,Hamidou Diallo,R.J. Hampton
3679299135,macyfan,1,1,211.38,Darius Garland,Donovan Mitchell,Evan Mobley,Jarrett Allen,Hamidou Diallo,R.J. Hampton
3679416173,JeremyT8783,1,1,207.63,Donovan Mitchell,Evan Mobley,Jaden Ivey,Marvin Bagley III,James Wiseman,Caris LeVert
3679099466,Spunky3300,1,1,206.63,Jarrett Allen,Donovan Mitchell,Darius Garland,Evan Mobley,Hamidou Diallo,Cory Joseph
3679440323,Rains,1,1,206.63,Jarrett Allen,Donovan Mitchell,Darius Garland,Evan Mobley,Hamidou Diallo,Cory Joseph
3679712387,madstoper,1,1,206.63,Jarrett Allen,Donovan Mitchell,Darius Garland,Evan Mobley,Hamidou Diallo,Cory Joseph
3679507509,msarnold678,1,1,200.5,Jaden Ivey,Donovan Mitchell,Evan Mobley,Killian Hayes,Marvin Bagley III,Hamidou Diallo
3679518150,EEChick1400,1,1,197.13,Donovan Mitchell,Darius Garland,Jarrett Allen,Marvin Bagley III,Caris LeVert,Isaac Okoro
3679555689,ginm8,1,1,193.5,Jaden Ivey,Donovan Mitchell,Evan Mobley,Killian Hayes,Marvin Bagley III,James Wiseman
3679556176,bascom1982,1,1,193.38,Donovan Mitchell,Darius Garland,Evan Mobley,Jaden Ivey,James Wiseman,R.J. Hampton
3679487667,moandbro,1,1,178.13,Donovan Mitchell,Darius Garland,Jaden Ivey,James Wiseman,Hamidou Diallo,Caris LeVert
3679794507,ajbrennan96,1,1,178.13,Hamidou Diallo,Donovan Mitchell,Darius Garland,Jarrett Allen,Killian Hayes,James Wiseman
3679330583,cbrats27,1,1,173.88,Jarrett Allen,Donovan Mitchell,Jaden Ivey,Killian Hayes,Marvin Bagley III,James Wiseman
3679388943,destroyeraseimprove,1,1,172.5,Killian Hayes,Donovan Mitchell,Darius Garland,Evan Mobley,Jaden Ivey,Rodney McGruder
3679126204,Thunderrr526,1,1,165.13,Darius Garland,Donovan Mitchell,Jaden Ivey,Killian Hayes,Hamidou Diallo,Isaac Okoro
3679370956,OrangeSU44,1,1,164.0,Jaden Ivey,Donovan Mitchell,Darius Garland,Killian Hayes,James Wiseman,Hamidou Diallo
