EntryId,Username,EntryNumber,EntryTotal,Points,CPT,UTIL,UTIL,UTIL,UTIL,UTIL
3680590266,Scrvnts,1,1,130.75,Anthony Edwards,De'Aaron Fox,Malik Monk,Kevin Huerter,Jaden McDaniels,Nickeil Alexander-Walker
3680612920,tomslosh96,1,1,120.25,Rudy Gobert,Anthony Edwards,De'Aaron Fox,Kevin Huerter,Harrison Barnes,Jordan McLaughlin
3680642441,Percy36,1,1,115.75,Trey Lyles,Domantas Sabonis,Anthony Edwards,De'Aaron Fox,Kyle Anderson,Taurean Prince
3680609674,demolitionman1984,1,1,110.0,De'Aaron Fox,Mike Conley,Kyle Anderson,Malik Monk,Kevin Huerter,Keegan Murray
3680312636,palumbo200071,1,1,103.5,De'Aaron Fox,Domantas Sabonis,Mike Conley,Jaden McDaniels,Trey Lyles,Taurean Prince
3680585851,Dpessetto66,1,1,93.38,Malik Monk,De'Aaron Fox,Rudy Gobert,Mike Conley,Kyle Anderson,Naz Reid
3679415299,aramisj22,1,1,87.38,Domantas Sabonis,Anthony Edwards,Kyle Anderson,Harrison Barnes,Keegan Murray,Taurean Prince
3679412939,DR.DRAFTY,1,1,85.13,Naz Reid,Domantas Sabonis,Anthony Edwards,De'Aaron Fox,Jaden McDaniels,Taurean Prince
3680561840,branrich03,1,1,84.38,Domantas Sabonis,Anthony Edwards,Kyle Anderson,Harrison Barnes,Naz Reid,Taurean Prince
3680635048,BigBreakfast48,1,1,81.38,Naz Reid,Domantas Sabonis,Anthony Edwards,Mike Conley,Kyle Anderson,Davion Mitchell
3680603141,branbran92,1,1,73.63,Domantas Sabonis,Rudy Gobert,Mike Conley,Harrison Barnes,Naz Reid,Taurean Prince
3679498810,kaysizzle,1,1,72.38,Keegan Murray,Domantas Sabonis,Anthony Edwards,De'Aaron Fox,Naz Reid,Taurean Prince
