EntryId,Username,EntryNumber,EntryTotal,Points,G,G,F/C,F/C,UTIL,UTIL,BENCH
3679473400,manking24,1,1,253.75,Jrue Holiday,Kevin Huerter,Giannis Antetokounmpo,Rudy Gobert,Devonte' Graham,Jeremy Sochan,Khris Middleton
3679484837,Patron24,1,1,250.0,James Harden,Darius Garland,Zach Collins,Alperen Sengun,Mike Conley,Keita Bates-Diop,Bobby Portis
3679476453,paco4211,1,1,243.75,Dejounte Murray,Killian Hayes,Bam Adebayo,Joel Embiid,Kyle Anderson,Brook Lopez,Jaden Ivey
3679476448,blackwizard24,1,1,235.75,Donovan Mitchell,Tyler Herro,Marvin Bagley III,Jimmy Butler,Clint Capela,KJ Martin,Harrison Barnes
3679455373,xcxh015,1,1,219.25,Anthony Edwards,Tyrese Maxey,Domantas Sabonis,Evan Mobley,Kevin Porter Jr.,Kevin Love,Keldon Johnson
3679492195,tyga2509,1,1,151.5,De'Aaron Fox,Trae Young,Jarrett Allen,Jabari Smith Jr.,Jalen Green,Malik Monk,Tobias Harris
