EntryId,Username,EntryNumber,EntryTotal,Points,G,G,F/C,F/C,UTIL,UTIL,BENCH
3679406092,Ocultos27,1,1,286.75,James Harden,Darius Garland,Joel Embiid,Evan Mobley,Alperen Sengun,Trae Young,Jeremy Sochan
3679405868,SFWillClark22,1,1,285.5,Jrue Holiday,De'Aaron Fox,Giannis Antetokounmpo,Bam Adebayo,Brook Lopez,Tyler Herro,Dejounte Murray
3679410330,Bradybromance,1,1,234.75,Anthony Edwards,Donovan Mitchell,Domantas Sabonis,Jimmy Butler,Rudy Gobert,Jarrett Allen,Jalen Green
