EntryId,Username,EntryNumber,EntryTotal,Points,C,F,G,PF,PG,SF,SG,UTIL
3680216566,ylksco,1,1,308.5,James Wiseman,Marvin Bagley III,De'Aaron Fox,Jeremy Sochan,James Harden,Hamidou Diallo,Devonte' Graham,Zach Collins
3679882593,bkreider,1,1,306.0,Bam Adebayo,Jeremy Sochan,Jalen Green,Marvin Bagley III,Tre Jones,Tari Eason,Devonte' Graham,Joel Embiid
3679930820,ragingphilip,1,1,306.0,Bam Adebayo,Jeremy Sochan,Tre Jones,Marvin Bagley III,Devonte' Graham,Tari Eason,Jalen Green,Joel Embiid
3680008644,ImnotNavT,1,1,306.0,Bam Adebayo,Jeremy Sochan,Jalen Green,Marvin Bagley III,Tre Jones,Tari Eason,Devonte' Graham,Joel Embiid
3680006163,ohayes21,1,1,292.25,Bam Adebayo,Jeremy Sochan,Isaac Okoro,Marvin Bagley III,De'Aaron Fox,Tari Eason,Tyrese Maxey,Darius Garland
3679945880,mbelman967,1,1,290.25,Charles Bassey,Naz Reid,Tyrese Maxey,Giannis Antetokounmpo,Devonte' Graham,Tari Eason,Caris LeVert,Joel Embiid
3680326757,jcsst24,1,1,287.25,Marvin Bagley III,Anthony Edwards,Jalen Green,Jeremy Sochan,Devonte' Graham,Hamidou Diallo,Tyler Herro,Evan Mobley
3679498177,stevegvp,1,1,284.25,Charles Bassey,Jeremy Sochan,James Harden,Tari Eason,Jalen Green,Keegan Murray,Devonte' Graham,Joel Embiid
3679808286,mazwa,1,1,282.0,Jarrett Allen,Jeremy Sochan,Tre Jones,Marvin Bagley III,Devonte' Graham,Kyle Anderson,Jalen Green,Joel Embiid
3680189924,drbaldy,1,1,280.75,Zach Collins,Jeremy Sochan,Tyler Herro,Tari Eason,Devonte' Graham,Harrison Barnes,Jalen Green,Joel Embiid
3679737609,papagates,1,1,280.25,James Wiseman,Keegan Murray,De'Aaron Fox,Marvin Bagley III,James Harden,Harrison Barnes,Tyrese Maxey,Zach Collins
3679936749,euphrates02,1,1,280.25,James Wiseman,Giannis Antetokounmpo,Kevin Huerter,Jeremy Sochan,Devonte' Graham,Keegan Murray,Tyrese Maxey,Bam Adebayo
3680122961,mcp15,1,1,279.75,James Wiseman,Giannis Antetokounmpo,Tyrese Maxey,Jeremy Sochan,Devonte' Graham,Hamidou Diallo,Blake Wesley,James Harden
3680339696,mpasqurell,1,1,279.0,Zach Collins,Tari Eason,Devonte' Graham,Jeremy Sochan,Dejounte Murray,Jimmy Butler,Tyler Herro,Tyrese Maxey
3679176672,petteytheft89,1,1,278.75,James Wiseman,Giannis Antetokounmpo,Jalen Green,Marvin Bagley III,Tre Jones,Tari Eason,Devonte' Graham,Alperen Sengun
3679795828,eshee,1,1,278.5,Giannis Antetokounmpo,Hamidou Diallo,De'Aaron Fox,Jeremy Sochan,Tyrese Maxey,Tari Eason,Devonte' Graham,Naz Reid
3679876851,rick12324,1,1,278.5,Charles Bassey,Jeremy Sochan,Devonte' Graham,Tari Eason,Jalen Green,Anthony Edwards,Hamidou Diallo,Joel Embiid
3680419410,Jimmy5956,1,1,269.0,Marvin Bagley III,Jimmy Butler,Jalen Green,Jeremy Sochan,Devonte' Graham,Isaiah Livers,Tyler Herro,De'Aaron Fox
3680407771,Gfunkera86,1,1,264.25,Bam Adebayo,Giannis Antetokounmpo,Tyrese Maxey,John Collins,Tre Jones,Keegan Murray,Devonte' Graham,Kyle Anderson
3679830916,youdacao,1,1,262.0,Joel Embiid,Jeremy Sochan,Tre Jones,De'Andre Hunter,Jaden Ivey,Hamidou Diallo,Caris LeVert,James Harden
3680075628,ryanmax,1,1,260.0,Marvin Bagley III,Naz Reid,De'Aaron Fox,Jeremy Sochan,James Harden,Keegan Murray,Dejounte Murray,Charles Bassey
3680021835,Ajspitz23,1,1,256.25,Joel Embiid,Keegan Murray,Hamidou Diallo,Jeremy Sochan,Jalen Green,Tari Eason,Devonte' Graham,Anthony Edwards
3680243216,Johnnymax1977,1,1,250.75,Joel Embiid,KJ Martin,Blake Wesley,Evan Mobley,Gabe Vincent,Keita Bates-Diop,Jalen Green,Zach Collins
3680345357,dannybagz,1,1,246.75,Charles Bassey,Keegan Murray,De'Aaron Fox,Jeremy Sochan,Jalen Green,Tari Eason,Tyrese Maxey,Joel Embiid
3679787452,dbruton,1,1,244.0,Zach Collins,Kyle Anderson,Jaden Ivey,Jeremy Sochan,Killian Hayes,Anthony Edwards,Tyler Herro,Tre Jones
3680219444,austinyergin1,1,1,240.0,Rudy Gobert,Naz Reid,De'Aaron Fox,Jeremy Sochan,Tyrese Maxey,Anthony Edwards,Devonte' Graham,Keegan Murray
3680289299,greekmamba,1,1,233.75,Giannis Antetokounmpo,Naz Reid,Blake Wesley,Jeremy Sochan,Devonte' Graham,Harrison Barnes,Jalen Green,De'Aaron Fox
