EntryId,Username,EntryNumber,EntryTotal,Points,T1,T2,T3,T4,T5,T6
3680166910,mflynnnj1,1,1,263.5,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Evan Mobley,Zach Collins,Jeremy Sochan
3680073419,kochy11,1,1,255.0,Giannis Antetokounmpo,Domantas Sabonis,Jimmy Butler,Evan Mobley,Jarrett Allen,Jeremy Sochan
3680140082,meant2live,1,1,251.75,Joel Embiid,Domantas Sabonis,Bam Adebayo,Kevin Porter Jr.,Jarrett Allen,Mike Conley
3679289548,nickenyon6,1,1,251.25,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Alperen Sengun,Zach Collins,Jeremy Sochan
3679838354,Faye2008,1,1,250.5,Joel Embiid,Donovan Mitchell,Bam Adebayo,Dejounte Murray,Brook Lopez,Mike Conley
3679886807,teekk,1,1,249.25,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Tyler Herro,Zach Collins,Jeremy Sochan
3679759853,IRONMEN2125,1,1,247.5,Joel Embiid,Domantas Sabonis,Bam Adebayo,Dejounte Murray,Jarrett Allen,Mike Conley
3679461459,TRU337,1,1,239.75,Giannis Antetokounmpo,Domantas Sabonis,Jimmy Butler,Dejounte Murray,Jarrett Allen,Clint Capela
3679451691,Bcleven68,1,1,239.0,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Tyler Herro,Jalen Green,Clint Capela
3679295322,glavilla,1,1,238.5,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Dejounte Murray,Zach Collins,Jeremy Sochan
3679569302,griffalicious24,1,1,237.0,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Alperen Sengun,Jarrett Allen,Jeremy Sochan
3679465884,MaddenChamp1,1,1,234.75,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Alperen Sengun,Jarrett Allen,Jeremy Sochan
3679620917,SaintWaveCubPel84,1,1,231.25,Joel Embiid,Donovan Mitchell,Bam Adebayo,Kevin Porter Jr.,Jalen Green,Mike Conley
3680179276,Fatheadracer,1,1,226.75,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Kevin Porter Jr.,Jalen Green,Mike Conley
3680248802,pantherpiss1,1,1,225.0,Giannis Antetokounmpo,Donovan Mitchell,Jrue Holiday,Dejounte Murray,Jarrett Allen,Jeremy Sochan
3679989936,Budward59,1,1,224.25,Joel Embiid,Trae Young,De'Aaron Fox,Dejounte Murray,Brook Lopez,Jeremy Sochan
3679610767,kurosner,1,1,222.75,Giannis Antetokounmpo,Trae Young,De'Aaron Fox,Kevin Porter Jr.,Jarrett Allen,Clint Capela
3680291484,dredrefreedom52,1,1,218.5,Giannis Antetokounmpo,Trae Young,De'Aaron Fox,Dejounte Murray,Jarrett Allen,Clint Capela
3680009205,loubody66,1,1,216.25,Joel Embiid,Trae Young,De'Aaron Fox,Dejounte Murray,Jarrett Allen,Clint Capela
3680092778,ToddCha08,1,1,214.5,Joel Embiid,Donovan Mitchell,Bam Adebayo,Dejounte Murray,Jarrett Allen,Jaden Ivey
3679987912,meade127,1,1,211.0,Giannis Antetokounmpo,Donovan Mitchell,Bam Adebayo,Dejounte Murray,Jalen Green,Jaden Ivey
3680159426,Harpua99,1,1,208.75,Giannis Antetokounmpo,Donovan Mitchell,De'Aaron Fox,Dejounte Murray,Khris Middleton,Clint Capela
3680070650,Solis714marcOC,1,1,202.25,Joel Embiid,Trae Young,De'Aaron Fox,Dejounte Murray,Khris Middleton,Mike Conley
