EntryId,Username,EntryNumber,EntryTotal,Points,T1,T2,T3,T4,T5,T6
3679466365,phillysphinest,1,1,269.25,James Harden,Domantas Sabonis,Darius Garland,Tyler Herro,Zach Collins,KJ Martin
3679586977,cowboybrant,1,1,266.75,James Harden,Anthony Edwards,Bam Adebayo,Evan Mobley,Bobby Portis,Mike Conley
3679554241,Vris,1,1,265.75,Giannis Antetokounmpo,Domantas Sabonis,Darius Garland,Evan Mobley,Zach Collins,Jeremy Sochan
3679518289,Amishman654,1,1,262.75,Joel Embiid,Domantas Sabonis,Darius Garland,Evan Mobley,Jalen Green,Kyle Anderson
3679299682,macyfan,1,1,255.0,Giannis Antetokounmpo,Domantas Sabonis,Jimmy Butler,Evan Mobley,Jarrett Allen,Jeremy Sochan
3679417141,kusgen123,1,1,253.25,Giannis Antetokounmpo,Domantas Sabonis,Bam Adebayo,Dejounte Murray,Jarrett Allen,Clint Capela
3679173790,ScotchDragon,1,1,251.0,Joel Embiid,Trae Young,Jrue Holiday,Evan Mobley,Jalen Green,Clint Capela
3679476441,kaysizzle,1,1,249.0,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Alperen Sengun,Zach Collins,Jeremy Sochan
3679563530,JaclynLee,1,1,248.5,Giannis Antetokounmpo,Domantas Sabonis,Jimmy Butler,Kevin Porter Jr.,Zach Collins,Jeremy Sochan
3679392103,aramisj22,1,1,247.0,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Evan Mobley,Jarrett Allen,Jeremy Sochan
3679429220,Jboy-34,1,1,240.0,Giannis Antetokounmpo,Donovan Mitchell,Bam Adebayo,Tyler Herro,Jalen Green,Mike Conley
3679422698,107tbone,1,1,239.25,James Harden,Domantas Sabonis,De'Aaron Fox,Dejounte Murray,Jalen Green,Clint Capela
3679492589,Jumperjeff,1,1,237.75,Giannis Antetokounmpo,Domantas Sabonis,Darius Garland,Tyler Herro,Jalen Green,Mike Conley
3679554423,griffalicious24,1,1,237.0,Giannis Antetokounmpo,Domantas Sabonis,De'Aaron Fox,Alperen Sengun,Jarrett Allen,Jeremy Sochan
3679572071,D2KD2K,1,1,236.25,Giannis Antetokounmpo,Anthony Edwards,Bam Adebayo,Alperen Sengun,Jarrett Allen,Jaden Ivey
3679511643,gbpdave43,1,1,235.25,Giannis Antetokounmpo,Domantas Sabonis,Darius Garland,Dejounte Murray,Khris Middleton,Kyle Anderson
3679484032,SevenZeroSeven,1,1,233.5,Giannis Antetokounmpo,Donovan Mitchell,De'Aaron Fox,Dejounte Murray,Zach Collins,Clint Capela
3679510315,sjd6881,1,1,233.5,Joel Embiid,Domantas Sabonis,Bam Adebayo,Kevin Porter Jr.,Jarrett Allen,Jaden Ivey
3679470039,mikefoster04,1,1,231.75,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Dejounte Murray,Jarrett Allen,Clint Capela
3679470085,Bussa79,1,1,231.75,Joel Embiid,Domantas Sabonis,Jimmy Butler,Dejounte Murray,Jalen Green,Clint Capela
3679501828,CanelaRose,1,1,223.75,Joel Embiid,Anthony Edwards,De'Aaron Fox,Dejounte Murray,Jarrett Allen,Clint Capela
3679629368,TheChadman2020,1,1,223.25,Joel Embiid,Domantas Sabonis,Rudy Gobert,Kevin Porter Jr.,Jarrett Allen,Jeremy Sochan
3679609299,CaseyJLemke,1,1,220.0,Giannis Antetokounmpo,Donovan Mitchell,De'Aaron Fox,Kevin Porter Jr.,Jarrett Allen,Mike Conley
3679477781,Kratoz7,1,1,219.0,Giannis Antetokounmpo,Donovan Mitchell,De'Aaron Fox,Tyler Herro,Bobby Portis,Clint Capela
3679437129,MRBOSDAL9,1,1,217.75,Giannis Antetokounmpo,Anthony Edwards,Bam Adebayo,Kevin Porter Jr.,Bobby Portis,Jabari Smith Jr.
3679541739,MNGolferMN,1,1,215.75,Joel Embiid,Trae Young,Jimmy Butler,Kevin Porter Jr.,Khris Middleton,Clint Capela
3679425066,jbethell004,1,1,208.25,Giannis Antetokounmpo,Donovan Mitchell,De'Aaron Fox,Tyler Herro,Jarrett Allen,Jaden Ivey
3679529332,kb2haq,1,1,204.25,Joel Embiid,Domantas Sabonis,De'Aaron Fox,Dejounte Murray,Jalen Green,Jaden Ivey
3679506125,bosoxrox85,1,1,202.75,Joel Embiid,Anthony Edwards,Darius Garland,Kevin Porter Jr.,Jalen Green,Jaden Ivey
3679441598,cookie614,1,1,200.5,Joel Embiid,Anthony Edwards,De'Aaron Fox,Kevin Porter Jr.,Jalen Green,Jaden Ivey
3679444590,jcshin08,1,1,188.75,Joel Embiid,Trae Young,De'Aaron Fox,Dejounte Murray,Jalen Green,Jaden Ivey
