EntryId,Username,EntryNumber,EntryTotal,Points,UTIL,UTIL,UTIL,BENCH
3680228758,King_ClayB24,1,1,133.5,Fred VanVleet,Delon Wright,Kyle Kuzma,Daniel Gafford
3680205723,Sneaky200,1,1,125.75,Bradley Beal,Gary Trent Jr.,Pascal Siakam,Jakob Poeltl
3680205823,Grindtime222,1,1,90.75,Kristaps Porzingis,Scottie Barnes,OG Anunoby,Deni Avdija
