EntryId,Username,EntryNumber,EntryTotal,Points,G,G,F/C,F/C,UTIL,UTIL,BENCH
3679440343,Garrett071422,1,1,254.5,Kevin Huerter,Dejounte Murray,Bam Adebayo,Kyle Anderson,Jimmy Butler,Brook Lopez,Khris Middleton
3679411781,truefan22,1,1,243.5,De'Aaron Fox,Tyler Herro,Domantas Sabonis,Marvin Bagley III,Alperen Sengun,KJ Martin,Tyrese Maxey
3679429821,JeresTeam,1,1,237.0,Jrue Holiday,Mike Conley,Giannis Antetokounmpo,Evan Mobley,Kevin Porter Jr.,Bobby Portis,Bojan Bogdanovic
3679397732,Spenjiy,1,1,214.25,James Harden,Anthony Edwards,Zach Collins,Harrison Barnes,Jalen Green,Jabari Smith Jr.,Killian Hayes
3679410410,Bradybromance,1,1,195.0,Devonte' Graham,Donovan Mitchell,Jaden McDaniels,Jeremy Sochan,Trae Young,Jarrett Allen,Jaden Ivey
3679414795,Rico34th,1,1,192.75,Darius Garland,Malik Monk,Joel Embiid,Clint Capela,Rudy Gobert,Tobias Harris,Keldon Johnson
