EntryId,Username,EntryNumber,EntryTotal,Points,UTIL,UTIL,UTIL,BENCH
3679594764,Pokerskills82,1,1,115.75,Domantas Sabonis,Kyle Anderson,Naz Reid,Malik Monk
3679564877,edrew555,1,1,111.75,Kevin Huerter,De'Aaron Fox,Mike Conley,Keegan Murray
3679416287,Kroh62,1,1,110.0,Anthony Edwards,Rudy Gobert,Jaden McDaniels,Harrison Barnes
