EntryId,Username,EntryNumber,EntryTotal,Points,G,G,F/C,F/C,UTIL,UTIL,BENCH
3679638708,KLoganM23,1,1,293.25,James Harden,Jrue Holiday,Giannis Antetokounmpo,Clint Capela,De'Aaron Fox,Rudy Gobert,Dejounte Murray
3679573297,bonesjr66,1,1,269.0,Anthony Edwards,Trae Young,Bam Adebayo,Joel Embiid,Evan Mobley,Kevin Porter Jr.,Killian Hayes
3679620001,trfrazier62,1,1,234.75,Darius Garland,Donovan Mitchell,Domantas Sabonis,Jimmy Butler,Tyler Herro,Jeremy Sochan,Jarrett Allen
