EntryId,Username,EntryNumber,EntryTotal,Points,UTIL,UTIL,UTIL,BENCH
3679372436,Jmac1nine,1,1,146.25,Kristaps Porzingis,Delon Wright,Bradley Beal,OG Anunoby
3679397212,elmorenosuave,1,1,127.25,Fred VanVleet,Gary Trent Jr.,Kyle Kuzma,Daniel Gafford
3679407086,lakertony,1,1,82.0,Pascal Siakam,Scottie Barnes,Jakob Poeltl,Deni Avdija
