draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
86219,70,3,0,NBA,2023-04-25 23:30:00+00:00
86220,188,3,0,NBA,2023-04-25 23:30:00+00:00
86221,73,3,0,NBA,2023-04-25 23:30:00+00:00
86223,81,1,0,NBA,2023-04-25 23:30:00+00:00
86224,193,1,0,NBA,2023-04-25 23:30:00+00:00
86225,81,1,0,NBA,2023-04-26 01:00:00+00:00
86226,193,1,0,NBA,2023-04-26 01:00:00+00:00
86227,70,2,0,NBA,2023-04-26 01:00:00+00:00
86228,73,2,0,NBA,2023-04-26 01:00:00+00:00
86229,81,1,0,NBA,2023-04-26 02:00:00+00:00
86230,193,1,0,NBA,2023-04-26 02:00:00+00:00
86231,112,1,0,NBA,2023-04-26 03:00:00+00:00
86232,113,1,0,NBA,2023-04-26 03:20:00+00:00
