draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
130019,37,2,0,NBA,2025-07-10 19:00:00+00:00
130020,81,1,0,NBA,2025-07-10 23:30:00+00:00
130021,348,2,0,NBA,2025-07-10 19:00:00+00:00
130022,188,2,0,NBA,2025-07-10 19:00:00+00:00
130386,92,3,0,NBA,2025-07-10 19:30:00+00:00
130387,92,4,0,NBA,2025-07-10 23:30:00+00:00
130388,92,2,0,NBA,2025-07-11 01:30:00+00:00
130389,93,1,0,NBA,2025-07-11 02:00:00+00:00
130567,188,4,0,NBA,2025-07-10 23:30:00+00:00
130569,193,1,0,NBA,2025-07-10 23:30:00+00:00
