draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
96714,70,8,0,NBA,2023-11-29 00:30:00+00:00
96715,188,8,0,NBA,2023-11-29 00:30:00+00:00
96716,73,8,0,NBA,2023-11-29 00:30:00+00:00
96734,81,1,0,NBA,2023-11-29 00:30:00+00:00
96735,81,1,0,NBA,2023-11-29 01:00:00+00:00
96736,70,2,0,NBA,2023-11-29 01:30:00+00:00
96737,81,1,0,NBA,2023-11-29 03:00:00+00:00
96738,193,1,0,NBA,2023-11-29 03:00:00+00:00
96739,112,1,0,NBA,2023-11-29 04:00:00+00:00
96740,113,1,0,NBA,2023-11-29 04:20:00+00:00
