draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
144063,70,8,0,NBA,2026-03-23 23:00:00+00:00
144225,188,8,0,NBA,2026-03-23 23:00:00+00:00
144226,73,8,0,NBA,2026-03-23 23:00:00+00:00
144227,343,8,0,NBA,2026-03-23 23:00:00+00:00
144228,81,1,0,NBA,2026-03-23 23:00:00+00:00
144229,70,2,0,NBA,2026-03-23 23:30:00+00:00
144230,81,1,0,NBA,2026-03-24 00:00:00+00:00
144231,70,2,0,NBA,2026-03-24 01:00:00+00:00
144232,81,1,0,NBA,2026-03-24 01:30:00+00:00
144233,70,2,0,NBA,2026-03-24 02:00:00+00:00
144234,188,2,0,NBA,2026-03-24 02:00:00+00:00
144235,81,1,0,NBA,2026-03-24 02:30:00+00:00
144236,193,1,0,NBA,2026-03-24 02:30:00+00:00
144237,112,1,0,NBA,2026-03-24 03:30:00+00:00
