draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
146878,37,3,0,NBA,2026-05-08 23:30:00+00:00
146879,188,3,0,NBA,2026-05-08 23:30:00+00:00
146880,348,3,0,NBA,2026-05-08 23:30:00+00:00
146881,81,1,0,NBA,2026-05-09 02:00:00+00:00
147148,70,2,0,NBA,2026-05-08 23:00:00+00:00
147232,188,2,0,NBA,2026-05-08 23:00:00+00:00
147233,73,2,0,NBA,2026-05-08 23:00:00+00:00
147234,343,2,0,NBA,2026-05-08 23:00:00+00:00
147235,81,1,0,NBA,2026-05-08 23:00:00+00:00
147236,81,1,0,NBA,2026-05-09 01:30:00+00:00
147237,193,1,0,NBA,2026-05-09 01:30:00+00:00
147238,112,1,0,NBA,2026-05-09 02:30:00+00:00
