draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
123926,70,5,0,NBA,2025-03-20 23:00:00+00:00
124042,188,5,0,NBA,2025-03-20 23:00:00+00:00
124043,361,5,0,NBA,2025-03-20 23:00:00+00:00
124044,343,5,0,NBA,2025-03-20 23:00:00+00:00
124045,81,1,0,NBA,2025-03-20 23:00:00+00:00
124046,81,1,0,NBA,2025-03-21 02:00:00+00:00
124047,70,3,0,NBA,2025-03-21 02:00:00+00:00
124048,81,1,0,NBA,2025-03-21 02:30:00+00:00
124049,193,1,0,NBA,2025-03-21 02:30:00+00:00
124050,112,1,0,NBA,2025-03-21 03:30:00+00:00
