draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
121136,70,9,0,NBA,2025-01-30 00:00:00+00:00
121137,188,9,0,NBA,2025-01-30 00:00:00+00:00
121138,361,9,0,NBA,2025-01-30 00:00:00+00:00
121139,343,9,0,NBA,2025-01-30 00:00:00+00:00
121141,81,1,0,NBA,2025-01-30 00:00:00+00:00
121142,70,4,0,NBA,2025-01-30 00:30:00+00:00
121143,81,1,0,NBA,2025-01-30 00:30:00+00:00
121144,70,2,0,NBA,2025-01-30 01:00:00+00:00
121145,81,1,0,NBA,2025-01-30 01:00:00+00:00
121146,70,2,0,NBA,2025-01-30 02:00:00+00:00
121148,361,2,0,NBA,2025-01-30 02:00:00+00:00
121149,81,1,0,NBA,2025-01-30 03:00:00+00:00
121150,193,1,0,NBA,2025-01-30 03:00:00+00:00
121151,112,1,0,NBA,2025-01-30 04:00:00+00:00
