draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
96961,70,2,0,NBA,2023-12-02 21:00:00+00:00
96962,188,2,0,NBA,2023-12-02 21:00:00+00:00
96963,73,2,0,NBA,2023-12-02 21:00:00+00:00
96964,81,1,0,NBA,2023-12-02 21:00:00+00:00
96965,81,1,0,NBA,2023-12-02 22:00:00+00:00
96966,193,1,0,NBA,2023-12-02 22:00:00+00:00
96967,70,10,0,NBA,2023-12-03 00:00:00+00:00
96968,188,10,0,NBA,2023-12-03 00:00:00+00:00
96969,73,10,0,NBA,2023-12-03 00:00:00+00:00
96970,81,1,0,NBA,2023-12-03 00:00:00+00:00
96971,70,3,0,NBA,2023-12-03 01:00:00+00:00
96972,81,1,0,NBA,2023-12-03 01:00:00+00:00
96973,70,2,0,NBA,2023-12-03 02:00:00+00:00
96974,81,1,0,NBA,2023-12-03 02:30:00+00:00
96975,81,1,0,NBA,2023-12-03 03:00:00+00:00
96976,70,2,0,NBA,2023-12-03 03:00:00+00:00
96977,73,2,0,NBA,2023-12-03 03:00:00+00:00
96978,81,1,0,NBA,2023-12-03 03:30:00+00:00
96979,193,1,0,NBA,2023-12-03 03:30:00+00:00
96980,112,1,0,NBA,2023-12-03 04:30:00+00:00
96981,113,1,0,NBA,2023-12-03 04:50:00+00:00
