draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
138083,70,2,0,NBA,2025-11-29 22:00:00+00:00
138084,188,2,0,NBA,2025-11-29 22:00:00+00:00
138085,81,1,0,NBA,2025-11-29 22:00:00+00:00
138086,81,1,0,NBA,2025-11-29 23:00:00+00:00
138087,70,5,0,NBA,2025-11-30 00:30:00+00:00
138089,188,5,0,NBA,2025-11-30 00:30:00+00:00
138090,73,5,0,NBA,2025-11-30 00:30:00+00:00
138091,343,5,0,NBA,2025-11-30 00:30:00+00:00
138092,81,1,0,NBA,2025-11-30 00:30:00+00:00
138093,70,2,0,NBA,2025-11-30 01:00:00+00:00
138094,81,1,0,NBA,2025-11-30 01:30:00+00:00
138095,70,2,0,NBA,2025-11-30 02:00:00+00:00
138096,188,2,0,NBA,2025-11-30 02:00:00+00:00
138097,81,1,0,NBA,2025-11-30 03:00:00+00:00
138098,193,1,0,NBA,2025-11-30 03:00:00+00:00
138099,112,1,0,NBA,2025-11-30 04:00:00+00:00
