draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
86003,70,3,0,NBA,2023-04-21 23:00:00+00:00
86004,188,3,0,NBA,2023-04-21 23:00:00+00:00
86005,73,3,0,NBA,2023-04-21 23:00:00+00:00
86006,81,1,0,NBA,2023-04-21 23:00:00+00:00
86007,193,1,0,NBA,2023-04-21 23:00:00+00:00
86008,81,1,0,NBA,2023-04-22 00:30:00+00:00
86009,193,1,0,NBA,2023-04-22 00:30:00+00:00
86010,70,2,0,NBA,2023-04-22 00:30:00+00:00
86011,73,2,0,NBA,2023-04-22 00:30:00+00:00
86012,81,1,0,NBA,2023-04-22 01:30:00+00:00
86013,193,1,0,NBA,2023-04-22 01:30:00+00:00
86014,112,1,0,NBA,2023-04-22 02:30:00+00:00
86015,113,1,0,NBA,2023-04-22 02:50:00+00:00
