draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
83068,81,1,0,NBA,2023-03-02 00:00:00+00:00
83019,70,9,0,NBA,2023-03-02 00:00:00+00:00
83066,188,9,0,NBA,2023-03-02 00:00:00+00:00
83067,73,9,0,NBA,2023-03-02 00:00:00+00:00
83070,81,1,0,NBA,2023-03-02 00:30:00+00:00
83069,70,3,0,NBA,2023-03-02 00:30:00+00:00
83071,70,4,0,NBA,2023-03-02 01:00:00+00:00
83072,81,1,0,NBA,2023-03-02 03:00:00+00:00
83073,193,1,0,NBA,2023-03-02 03:00:00+00:00
83074,112,1,0,NBA,2023-03-02 04:00:00+00:00
83075,113,1,0,NBA,2023-03-02 04:20:00+00:00
