draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
84948,70,13,0,NBA,2023-04-04 23:00:00+00:00
84949,188,13,0,NBA,2023-04-04 23:00:00+00:00
84950,73,13,0,NBA,2023-04-04 23:00:00+00:00
84951,81,1,0,NBA,2023-04-04 23:00:00+00:00
84952,81,1,0,NBA,2023-04-04 23:30:00+00:00
84953,70,5,0,NBA,2023-04-05 00:00:00+00:00
84954,81,1,0,NBA,2023-04-05 00:00:00+00:00
84955,81,1,0,NBA,2023-04-05 01:00:00+00:00
84956,70,2,0,NBA,2023-04-05 02:00:00+00:00
84957,73,2,0,NBA,2023-04-05 02:00:00+00:00
84958,81,1,0,NBA,2023-04-05 02:00:00+00:00
84959,193,1,0,NBA,2023-04-05 02:00:00+00:00
84960,112,1,0,NBA,2023-04-05 03:00:00+00:00
84961,113,1,0,NBA,2023-04-05 03:20:00+00:00
