draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
82522,81,1,0,NBA,2023-02-24 00:00:00+00:00
82519,70,9,0,NBA,2023-02-24 00:00:00+00:00
82520,188,9,0,NBA,2023-02-24 00:00:00+00:00
82521,73,9,0,NBA,2023-02-24 00:00:00+00:00
82524,81,1,0,NBA,2023-02-24 00:30:00+00:00
82523,70,2,0,NBA,2023-02-24 00:30:00+00:00
82525,70,2,0,NBA,2023-02-24 01:30:00+00:00
82526,81,1,0,NBA,2023-02-24 02:00:00+00:00
82529,81,1,0,NBA,2023-02-24 03:00:00+00:00
82530,193,1,0,NBA,2023-02-24 03:00:00+00:00
82527,70,2,0,NBA,2023-02-24 03:00:00+00:00
82528,73,2,0,NBA,2023-02-24 03:00:00+00:00
82531,112,1,0,NBA,2023-02-24 04:00:00+00:00
82532,113,1,0,NBA,2023-02-24 04:20:00+00:00
