draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
84930,70,4,0,NBA,2023-04-02 17:00:00+00:00
84931,188,4,0,NBA,2023-04-02 17:00:00+00:00
84932,73,4,0,NBA,2023-04-02 17:00:00+00:00
84933,81,1,0,NBA,2023-04-02 17:00:00+00:00
84934,70,3,0,NBA,2023-04-02 19:30:00+00:00
84935,81,1,0,NBA,2023-04-02 19:30:00+00:00
84936,70,9,0,NBA,2023-04-02 22:00:00+00:00
84937,188,9,0,NBA,2023-04-02 22:00:00+00:00
84938,73,9,0,NBA,2023-04-02 22:00:00+00:00
84939,81,1,0,NBA,2023-04-02 22:00:00+00:00
84940,70,2,0,NBA,2023-04-02 23:00:00+00:00
84941,81,1,0,NBA,2023-04-02 23:00:00+00:00
84942,70,3,0,NBA,2023-04-03 00:00:00+00:00
84943,73,3,0,NBA,2023-04-03 00:00:00+00:00
84944,81,1,0,NBA,2023-04-03 00:30:00+00:00
84945,193,1,0,NBA,2023-04-03 00:30:00+00:00
84946,112,1,0,NBA,2023-04-03 01:30:00+00:00
84947,113,1,0,NBA,2023-04-03 01:50:00+00:00
