draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
86047,70,4,0,NBA,2023-04-23 17:00:00+00:00
86048,188,4,0,NBA,2023-04-23 17:00:00+00:00
86049,73,4,0,NBA,2023-04-23 17:00:00+00:00
86050,81,1,0,NBA,2023-04-23 17:00:00+00:00
86051,193,1,0,NBA,2023-04-23 17:00:00+00:00
86055,81,1,0,NBA,2023-04-23 19:30:00+00:00
86056,193,1,0,NBA,2023-04-23 19:30:00+00:00
86057,81,1,0,NBA,2023-04-23 23:00:00+00:00
86058,193,1,0,NBA,2023-04-23 23:00:00+00:00
86059,70,2,0,NBA,2023-04-23 23:00:00+00:00
86060,73,2,0,NBA,2023-04-23 23:00:00+00:00
86061,81,1,0,NBA,2023-04-24 01:30:00+00:00
86062,193,1,0,NBA,2023-04-24 01:30:00+00:00
86063,112,1,0,NBA,2023-04-24 02:30:00+00:00
86064,113,1,0,NBA,2023-04-24 02:50:00+00:00
