draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
84518,70,10,0,NBA,2023-03-24 23:00:00+00:00
84519,188,10,0,NBA,2023-03-24 23:00:00+00:00
84520,73,10,0,NBA,2023-03-24 23:00:00+00:00
84521,81,1,0,NBA,2023-03-24 23:00:00+00:00
84522,70,2,0,NBA,2023-03-24 23:30:00+00:00
84523,81,1,0,NBA,2023-03-25 00:00:00+00:00
84524,70,2,0,NBA,2023-03-25 00:30:00+00:00
84525,81,1,0,NBA,2023-03-25 01:00:00+00:00
84526,70,4,0,NBA,2023-03-25 02:00:00+00:00
84527,73,4,0,NBA,2023-03-25 02:00:00+00:00
84528,81,1,0,NBA,2023-03-25 02:30:00+00:00
84529,193,1,0,NBA,2023-03-25 02:30:00+00:00
84530,112,1,0,NBA,2023-03-25 03:30:00+00:00
84531,113,1,0,NBA,2023-03-25 03:50:00+00:00
84533,81,1,0,NBA,2023-03-25 02:00:00+00:00
