draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
85126,70,5,0,NBA,2023-04-06 23:00:00+00:00
85127,188,5,0,NBA,2023-04-06 23:00:00+00:00
85128,73,5,0,NBA,2023-04-06 23:00:00+00:00
85129,81,1,0,NBA,2023-04-06 23:00:00+00:00
85130,70,2,0,NBA,2023-04-06 23:30:00+00:00
85131,81,1,0,NBA,2023-04-06 23:30:00+00:00
85132,70,2,0,NBA,2023-04-07 01:00:00+00:00
85133,73,2,0,NBA,2023-04-07 01:00:00+00:00
85134,81,1,0,NBA,2023-04-07 02:00:00+00:00
85135,193,1,0,NBA,2023-04-07 02:00:00+00:00
85136,112,1,0,NBA,2023-04-07 03:00:00+00:00
85137,113,1,0,NBA,2023-04-07 03:20:00+00:00
