draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
82423,81,1,0,NBA,2023-02-16 00:00:00+00:00
82306,70,10,0,NBA,2023-02-16 00:00:00+00:00
82307,188,10,0,NBA,2023-02-16 00:00:00+00:00
82308,73,10,0,NBA,2023-02-16 00:00:00+00:00
82309,81,1,0,NBA,2023-02-16 00:30:00+00:00
82310,70,4,0,NBA,2023-02-16 00:30:00+00:00
82313,81,1,0,NBA,2023-02-16 01:00:00+00:00
82312,70,2,0,NBA,2023-02-16 01:00:00+00:00
82314,70,2,0,NBA,2023-02-16 02:00:00+00:00
82315,73,2,0,NBA,2023-02-16 02:00:00+00:00
82316,81,1,0,NBA,2023-02-16 03:00:00+00:00
82317,193,1,0,NBA,2023-02-16 03:00:00+00:00
82318,112,1,0,NBA,2023-02-16 04:00:00+00:00
82319,113,1,0,NBA,2023-02-16 04:20:00+00:00
