draft_group_id,contest_type_id,games_count,series_id,sport,starts_at
86021,70,4,0,NBA,2023-04-22 17:00:00+00:00
86023,188,4,0,NBA,2023-04-22 17:00:00+00:00
86025,73,4,0,NBA,2023-04-22 17:00:00+00:00
86026,81,1,0,NBA,2023-04-22 17:00:00+00:00
86028,193,1,0,NBA,2023-04-22 17:00:00+00:00
86029,81,1,0,NBA,2023-04-22 19:30:00+00:00
86031,193,1,0,NBA,2023-04-22 19:30:00+00:00
86032,81,1,0,NBA,2023-04-22 23:30:00+00:00
86034,193,1,0,NBA,2023-04-22 23:30:00+00:00
86035,70,2,0,NBA,2023-04-22 23:30:00+00:00
86036,73,2,0,NBA,2023-04-22 23:30:00+00:00
86038,81,1,0,NBA,2023-04-23 02:00:00+00:00
86039,193,1,0,NBA,2023-04-23 02:00:00+00:00
86041,112,1,0,NBA,2023-04-23 03:00:00+00:00
86042,113,1,0,NBA,2023-04-23 03:20:00+00:00
