contest_id,entry_max_per_user
141841939,150
141841938,11
141831604,150
141841934,20
141831663,2
141845156,150
141845157,4
141831602,4
141831598,20
141845178,150
141845180,150
141845179,4
141831721,20
141831724,1
141831593,94
141831591,1
141831587,20
141831590,1
141831592,1
141831652,1
141831633,1
141841933,15
141831650,1
141831651,1
141831629,105
141831626,1
141831627,20
141831630,8
141831625,1
141841935,3
141831640,1
141831638,1
141831641,27
141831642,20
141831659,6
141831639,5
141831665,142
141831670,20
141831672,1
141831667,1
141831668,20
141831660,1
141841936,1
141829222,1
141829236,1
141829237,1
141841931,20
141841930,150
141831655,1
141831643,1
141831654,1
141831634,1
141841932,1
141841929,1
141831647,20
141831632,150
141831703,20
141831704,1
141831702,8
141831705,20
141831708,2
141831601,1
141831600,1
141831605,20
141831606,1
141831597,1
141831611,71
141831614,20
141831608,1
141831609,5
141831612,20
141831615,35
141831619,1
141831616,20
141831617,5
141831621,1
141831653,1
141831649,1
141831646,3
141831644,1
141831657,1
141831676,28
141831678,1
141831674,20
141831681,1
141831675,1
141831656,1
141831662,20
141831645,3
141831635,1
141831648,150
141831631,2
141831636,1
141831661,13
141831595,2
141831603,3
141828867,1
141828871,1
141828870,1
141831714,42
141831710,20
141831709,20
141831715,1
141830788,1
141845155,1
141831706,1
141831701,1
141828945,1
141828947,1
141828946,1
141845177,1
141831722,6
141831723,20
141831725,1
141831718,1
141831687,14
141831682,20
141831683,1
141831685,1
141831688,1
141831637,2
141831658,1
141829234,2
141829235,1
141829238,6
141831596,3
141831599,20
141831607,1
141828869,1
141828868,1
141831586,1
141831589,1
141831594,8
141831588,1
141831585,20
141831696,14
141831691,20
141831692,1
141831694,1
141831697,1
141831671,11
141831664,1
141831669,1
141831666,1
141830278,1
141829240,3
141829239,3
141829242,1
141829241,1
141829220,1
141829221,1
141829244,1
141829243,1
141829246,1
141829245,1
141831700,1
141831707,20
141828949,1
141828948,1
141831610,1
141829892,1
141829894,1
141829893,1
141831613,1
141831731,10
141831730,1
141831200,1
141831201,1
141831729,1
141831618,20
141831457,1
141831459,1
141831458,1
141831622,1
141831623,20
141830020,1
141830022,1
141830021,1
141831628,1
141831673,20
141830148,1
141830150,1
141830149,1
141831680,4
141831686,20
141830404,1
141830406,1
141830405,1
141831690,4
141829023,1
141829027,1
141829026,1
141831720,1
141831717,1
141831719,20
141829025,1
141829024,1
141829028,1
141829017,1
141831695,20
141830532,1
141830534,1
141830533,1
141831699,4
141831141,1
141831140,1
141831128,1
141831129,1
141831130,1
141830660,1
141830662,1
141830661,1
141828950,1
141828939,1
141831716,1
141830790,1
141830789,1
141831713,4
141831712,1
141831259,1
141831260,1
141831735,1
141829361,1
141831734,1
141829124,20
141829217,2
141829215,1
141829248,2
141829247,2
141828872,1
141828861,1
141828862,1
141828874,1
141828873,1
141829764,1
141829766,1
141829765,1
141828865,7
141828866,7
141829250,1
141829249,1
141829252,1
141829251,1
141829254,1
141829253,1
141831137,1
141831133,1
141831134,1
141831135,1
141831136,1
141831132,1
141828940,1
141828952,1
141828951,1
141828943,7
141828944,7
141831728,1
141829322,1
141829321,1
141831726,1
141831727,10
141829018,1
141829030,1
141829029,1
141829508,1
141829510,1
141829509,1
141829021,7
141829022,7
141829516,1
141829512,1
141829513,1
141829514,1
141829515,1
141829511,1
141829644,1
141829640,1
141829641,1
141829642,1
141829643,1
141829639,1
141829636,1
141829638,1
141829637,1
141828613,1
141831732,14
141831733,3
141829646,1
141829645,1
141849568,1
141830280,1
141830281,1
141830282,1
141830283,1
141830279,1
141830276,1
141830277,1
141829293,1
141829292,1
141831139,1
141831138,1
141829772,1
141829768,1
141829769,1
141829770,1
141829771,1
141829767,1
141829900,1
141829896,1
141829897,1
141829898,1
141829899,1
141829895,1
141831465,1
141831461,1
141831462,1
141831463,1
141831464,1
141831460,1
141831620,1
141831277,1
141831467,1
141831466,1
141829774,1
141829773,1
141829902,1
141829901,1
141830286,1
141830285,1
141830028,1
141830024,1
141830025,1
141830026,1
141830027,1
141830023,1
141831624,1
141828635,1
141830030,1
141830029,1
141830156,1
141830152,1
141830153,1
141830154,1
141830155,1
141830151,1
141831677,1
141831679,1
141828658,1
141830158,1
141830157,1
141830412,1
141830408,1
141830409,1
141830410,1
141830411,1
141830407,1
141831684,1
141831689,1
141828680,1
141830414,1
141830413,1
141830540,1
141830536,1
141830537,1
141830538,1
141830539,1
141830535,1
141831693,1
141831698,1
141828702,1
141830542,1
141830541,1
141830668,1
141830664,1
141830665,1
141830666,1
141830667,1
141830663,1
141830796,1
141830792,1
141830793,1
141830794,1
141830795,1
141830791,1
141831711,1
141830670,1
141830669,1
141830798,1
141830797,1
141829518,1
141829517,1
141828621,1
141828620,1
141828619,1
141828618,3
141828617,1
141828616,1
141828615,1
141828614,8
141828623,1
141828622,1
141828608,1
141828602,1
141828603,1
141828612,1
141828607,1
141828611,1
141828606,1
141828610,1
