contest_id,minPosition,maxPosition,payout
159116639,1,1,500.0
159116639,2,2,400.0
159116639,3,3,300.0
159116639,4,4,250.0
159116639,5,6,200.0
159116639,7,9,150.0
159116639,10,16,100.0
159116640,1,1,2000.0
159116640,2,2,400.0
159116640,3,3,200.0
159116640,4,4,100.0
159116640,5,5,75.0
159116640,6,7,60.0
159116640,8,10,50.0
159116640,11,13,40.0
159116640,14,16,35.0
159116640,17,20,30.0
159116640,21,25,25.0
159116640,26,35,20.0
159116640,36,45,15.0
159116640,46,65,10.0
159116640,66,100,8.0
159116640,101,191,6.0
159116640,192,352,5.0
159116640,353,1053,4.0
159116641,1,1,1000.0
159116641,2,2,500.0
159116641,3,3,250.0
159116641,4,4,150.0
159116641,5,5,100.0
159116641,6,6,75.0
159116641,7,8,50.0
159116641,9,10,30.0
159116641,11,14,25.0
159116641,15,19,20.0
159116641,20,25,15.0
159116641,26,35,10.0
159116641,36,45,8.0
159116641,46,60,6.0
159116641,61,100,5.0
159116641,101,195,4.0
159116641,196,405,3.0
159116641,406,865,2.0
159116641,866,1811,1.5
159116641,1812,5467,1.0
159116642,1,1,2000.0
159116642,2,2,1200.0
159116642,3,3,800.0
159116643,1,1,1500.0
159116643,2,2,1000.0
159116643,3,3,800.0
159116643,4,4,700.0
159116643,5,5,600.0
159116643,6,6,500.0
159116643,7,8,400.0
159116643,9,10,350.0
159116643,11,12,300.0
159116643,13,15,250.0
159116643,16,20,200.0
159116643,21,27,150.0
159116644,1,1,2000.0
159116644,2,2,1000.0
159116644,3,3,750.0
159116644,4,4,600.0
159116644,5,6,500.0
159116644,7,8,400.0
159116644,9,11,300.0
159116644,12,16,250.0
159116644,17,24,200.0
159116644,25,36,150.0
159116644,37,62,100.0
159116644,63,95,80.0
159116644,96,146,60.0
159116645,1,1,1000.0
159116645,2,2,800.0
159116645,3,3,600.0
159116645,4,4,500.0
159116645,5,5,400.0
159116645,6,6,300.0
159116645,7,8,250.0
159116645,9,11,200.0
159116645,12,15,160.0
159116645,16,22,120.0
159116645,23,37,100.0
159116645,38,66,80.0
159116646,1,1,300.0
159116646,2,2,200.0
159116646,3,3,100.0
159116646,4,4,80.0
159116646,5,5,65.0
159116646,6,6,50.0
159116646,7,8,40.0
159116646,9,10,30.0
159116646,11,12,25.0
159116646,13,15,20.0
159116646,16,20,15.0
159116646,21,30,10.0
159116646,31,45,8.0
159116646,46,80,6.0
159116646,81,145,5.0
159116646,146,265,4.0
159116646,266,480,3.0
159116647,1,1,300.0
159116647,2,2,150.0
159116647,3,3,100.0
159116647,4,4,80.0
159116647,5,5,65.0
159116647,6,6,50.0
159116647,7,8,40.0
159116647,9,10,30.0
159116647,11,12,25.0
159116647,13,15,20.0
159116647,16,19,15.0
159116647,20,25,10.0
159116647,26,35,8.0
159116647,36,45,6.0
159116647,46,65,5.0
159116647,66,110,4.0
159116647,111,210,3.0
159116647,211,437,2.0
159116647,438,911,1.5
159116648,1,15,200.0
159116649,1,30,100.0
159116650,1,1,1500.0
159116650,2,2,750.0
159116650,3,3,500.0
159116650,4,5,400.0
159116650,6,7,300.0
159116650,8,10,225.0
159116650,11,13,200.0
159116650,14,18,175.0
159116650,19,26,150.0
159116651,1,1,900.0
159116651,2,2,700.0
159116651,3,3,500.0
159116651,4,4,300.0
159116651,5,5,250.0
159116651,6,7,200.0
159116651,8,10,150.0
159116651,11,14,125.0
159116651,15,19,100.0
159116651,20,24,80.0
159116651,25,34,70.0
159116651,35,49,60.0
159116651,50,79,50.0
159116652,1,1,500.0
159116652,2,2,350.0
159116652,3,3,300.0
159116652,4,4,250.0
159116652,5,5,200.0
159116652,6,6,150.0
159116652,7,8,100.0
159116652,9,10,75.0
159116652,11,14,60.0
159116652,15,19,50.0
159116652,20,25,40.0
159116652,26,40,30.0
159116652,41,60,25.0
159116652,61,121,20.0
159116653,1,1,500.0
159116653,2,2,300.0
159116653,3,3,200.0
159116653,4,4,150.0
159116653,5,5,100.0
159116653,6,6,75.0
159116653,7,8,60.0
159116653,9,10,50.0
159116653,11,12,45.0
159116653,13,15,40.0
159116653,16,20,35.0
159116653,21,25,30.0
159116653,26,35,25.0
159116653,36,55,20.0
159116653,56,95,15.0
159116653,96,262,10.0
159116654,1,200,10.0
159116655,1,500,4.0
159116656,1,1,600.0
159116656,2,2,500.0
159116656,3,3,400.0
159116656,4,4,300.0
159116656,5,5,200.0
159116656,6,6,150.0
159116656,7,7,120.0
159116656,8,9,100.0
159116656,10,14,80.0
159116656,15,24,60.0
159116656,25,45,50.0
159116656,46,82,40.0
159116657,1,1,600.0
159116657,2,2,300.0
159116657,3,3,200.0
