contest_id,minPosition,maxPosition,payout
159589935,1,1,600.0
159589935,2,2,400.0
159589935,3,3,300.0
159589935,4,4,200.0
159589935,5,5,150.0
159589935,6,6,100.0
159589935,7,8,90.0
159589935,9,12,80.0
159589935,13,16,70.0
159589935,17,24,60.0
159589935,25,39,50.0
159589935,40,70,40.0
159589936,1,1,500.0
159589936,2,2,200.0
159589936,3,3,150.0
159589936,4,4,125.0
159589936,5,5,100.0
159589936,6,6,75.0
159589936,7,8,60.0
159589936,9,10,50.0
159589936,11,12,40.0
159589936,13,15,30.0
159589936,16,20,25.0
159589936,21,30,20.0
159589936,31,50,15.0
159589936,51,75,12.0
159589936,76,100,10.0
159589936,101,150,8.0
159589936,151,285,6.0
159589936,286,500,5.0
159589937,1,1,2000.0
159589937,2,2,400.0
159589937,3,3,200.0
159589937,4,4,100.0
159589937,5,5,75.0
159589937,6,7,60.0
159589937,8,10,50.0
159589937,11,13,40.0
159589937,14,16,35.0
159589937,17,20,30.0
159589937,21,25,25.0
159589937,26,35,20.0
159589937,36,45,15.0
159589937,46,65,10.0
159589937,66,100,8.0
159589937,101,191,6.0
159589937,192,352,5.0
159589937,353,1053,4.0
159589938,1,1,2300.0
159589938,2,2,1400.0
159589938,3,3,900.0
159589938,4,5,700.0
159589939,1,1,5000.0
159589939,2,2,3000.0
159589939,3,3,2000.0
159589939,4,4,1500.0
159589939,5,5,1000.0
159589939,6,7,700.0
159589939,8,10,500.0
159589939,11,15,400.0
159589939,16,23,300.0
159589939,24,37,250.0
159589939,38,71,200.0
159589940,1,1,1500.0
159589940,2,2,1000.0
159589940,3,3,800.0
159589940,4,4,700.0
159589940,5,5,600.0
159589940,6,6,500.0
159589940,7,8,400.0
159589940,9,10,350.0
159589940,11,12,300.0
159589940,13,15,250.0
159589940,16,20,200.0
159589940,21,27,150.0
159589941,1,1,1000.0
159589941,2,2,500.0
159589941,3,3,350.0
159589941,4,4,250.0
159589941,5,5,200.0
159589941,6,7,150.0
159589941,8,10,125.0
159589941,11,14,100.0
159589941,15,20,75.0
159589941,21,27,60.0
159589941,28,36,50.0
159589941,37,47,45.0
159589941,48,62,40.0
159589941,63,84,35.0
159589941,85,115,30.0
159589941,116,161,25.0
159589941,162,229,20.0
159589942,1,1,1000.0
159589942,2,2,600.0
159589942,3,3,400.0
159589942,4,4,300.0
159589942,5,5,250.0
159589942,6,6,200.0
159589942,7,7,175.0
159589942,8,8,150.0
159589942,9,9,125.0
159589942,10,10,100.0
159589942,11,12,80.0
159589942,13,15,60.0
159589942,16,20,40.0
159589942,21,30,30.0
159589942,31,50,20.0
159589942,51,94,15.0
159589942,95,244,12.0
159589942,245,544,10.0
159589943,1,1,300.0
159589943,2,2,150.0
159589943,3,3,100.0
159589943,4,4,80.0
159589943,5,5,65.0
159589943,6,6,50.0
159589943,7,8,40.0
159589943,9,10,30.0
159589943,11,12,25.0
159589943,13,15,20.0
159589943,16,19,15.0
159589943,20,25,10.0
159589943,26,35,8.0
159589943,36,45,6.0
159589943,46,65,5.0
159589943,66,110,4.0
159589943,111,210,3.0
159589943,211,437,2.0
159589943,438,911,1.5
159589944,1,1,500.0
159589944,2,2,350.0
159589944,3,3,300.0
159589944,4,4,250.0
159589944,5,5,200.0
159589944,6,6,150.0
159589944,7,8,100.0
159589944,9,10,75.0
159589944,11,14,60.0
159589944,15,19,50.0
159589944,20,25,40.0
159589944,26,40,30.0
159589944,41,60,25.0
159589944,61,121,20.0
159589945,1,1,500.0
159589945,2,2,300.0
159589945,3,3,200.0
159589945,4,4,150.0
159589945,5,5,100.0
159589945,6,6,75.0
159589945,7,8,60.0
159589945,9,10,50.0
159589945,11,12,45.0
159589945,13,15,40.0
159589945,16,20,35.0
159589945,21,25,30.0
159589945,26,35,25.0
159589945,36,55,20.0
159589945,56,95,15.0
159589945,96,262,10.0
159589946,1,10,200.0
159589947,1,1,200.0
159589947,2,2,125.0
159589947,3,3,80.0
159589947,4,4,60.0
159589947,5,5,50.0
159589947,6,6,40.0
159589947,7,7,30.0
159589947,8,9,25.0
159589947,10,13,20.0
159589947,14,21,15.0
159589947,22,33,10.0
159589947,34,49,8.0
159589947,50,73,6.0
159589947,74,107,5.0
159589947,108,176,4.0
159589947,177,285,3.0
159589948,1,1,500.0
159589948,2,2,350.0
159589948,3,3,250.0
159589948,4,4,200.0
159589948,5,6,150.0
159589948,7,10,100.0
159589949,1,1,200.0
159589949,2,2,150.0
159589949,3,3,100.0
159589949,4,4,75.0
159589949,5,5,50.0
159589949,6,6,40.0
159589949,7,7,30.0
159589949,8,8,25.0
159589949,9,10,20.0
159589949,11,13,15.0
159589949,14,16,10.0
159589949,17,20,8.0
159589949,21,25,6.0
159589949,26,35,5.0
159589949,36,45,4.0
159589949,46,70,3.0
159589949,71,140,2.0
159589949,141,295,1.5
159589949,296,720,1.0
159589949,721,1810,0.75
159589949,1811,4556,0.5
159589950,1,1,500.0
159589950,2,2,250.0
159589950,3,3,100.0
159589950,4,4,50.0
159589950,5,5,40.0
159589950,6,7,30.0
159589950,8,10,25.0
159589950,11,14,20.0
159589950,15,20,15.0
159589950,21,30,10.0
159589950,31,40,8.0
159589950,41,55,6.0
159589950,56,70,5.0
159589950,71,105,4.0
159589950,106,190,3.0
159589950,191,420,2.0
159589950,421,906,1.5
159589950,907,2732,1.0
159589951,1,1,2500.0
159589951,2,2,1500.0
159589951,3,3,800.0
159589951,4,4,600.0
159589951,5,5,450.0
159589951,6,7,350.0
159589951,8,10,250.0
159589951,11,15,200.0
159589951,16,28,100.0
159589951,29,49,80.0
159589951,50,73,70.0
159589951,74,107,60.0
159589952,1,1,1000.0
159589952,2,2,710.0
159589952,3,3,600.0
159589952,4,4,500.0
159589952,5,5,400.0
159589952,6,7,300.0
159589952,8,10,200.0
159589952,11,15,150.0
159589952,16,23,100.0
159589952,24,35,80.0
159589952,36,53,60.0
159589953,1,1,700.0
159589953,2,2,600.0
159589953,3,3,500.0
159589953,4,4,400.0
159589953,5,5,300.0
159589953,6,6,200.0
159589953,7,7,150.0
159589953,8,9,125.0
159589953,10,14,100.0
159589953,15,24,75.0
159589953,25,57,50.0
159589954,1,5,500.0
159589955,1,20,100.0
159589956,1,80,50.0
159589957,1,100,20.0
159589958,1,200,10.0
159589959,1,100,10.0
159589960,1,375,4.0
159589961,1,1,5000.0
159589961,2,2,2000.0
159589961,3,3,1000.0
159589961,4,4,750.0
159589961,5,5,500.0
159589961,6,6,400.0
159589961,7,8,300.0
159589961,9,10,200.0
159589961,11,12,100.0
159589961,13,15,50.0
159589961,16,20,40.0
159589961,21,30,30.0
159589961,31,50,20.0
159589961,51,100,15.0
159589961,101,255,10.0
159589961,256,980,8.0
159589962,1,1,50.0
159589962,2,2,40.0
159589962,3,3,30.0
159589962,4,4,25.0
159589962,5,7,20.0
159589962,8,10,15.0
159589962,11,15,10.0
159589962,16,25,8.0
159589962,26,45,6.0
159589963,1,1,100.0
159589963,2,2,60.0
159589963,3,3,40.0
159589963,4,5,30.0
159589963,6,7,20.0
159589964,1,1,750.0
159589964,2,2,450.0
159589964,3,3,300.0
159589965,1,1,250.0
159589965,2,2,150.0
159589965,3,3,100.0
159589966,1,1,600.0
159589966,2,2,300.0
159589966,3,3,200.0
159589966,4,4,150.0
159589966,5,5,100.0
159589966,6,7,75.0
159589966,8,10,60.0
159589966,11,13,50.0
159589966,14,16,40.0
159589966,17,20,30.0
159589966,21,25,25.0
159589966,26,30,20.0
159589966,31,40,15.0
159589966,41,50,10.0
159589966,51,65,8.0
159589966,66,80,6.0
159589966,81,105,5.0
159589966,106,165,4.0
159589966,166,315,3.0
159589966,316,675,2.0
159589966,676,1815,1.5
159589967,1,1,100.0
159589967,2,2,75.0
159589967,3,3,50.0
159589967,4,4,35.0
159589967,5,5,25.0
159589967,6,6,20.0
159589967,7,8,15.0
159589967,9,10,10.0
159589967,11,13,8.0
159589967,14,16,6.0
159589967,17,20,5.0
159589967,21,25,4.0
159589967,26,30,3.0
159589967,31,45,2.0
159589967,46,75,1.5
159589967,76,170,1.0
159589967,171,450,0.75
159589967,451,1286,0.5
159589968,1,1,165.0
159589968,2,2,90.0
159589968,3,3,50.0
159589969,1,1,150.0
159589969,2,2,112.5
159589969,3,3,78.75
159589969,4,4,52.5
159589969,5,5,37.5
159589969,6,10,18.75
159589969,11,20,13.12
159589969,21,30,9.38
159589970,1,1,100.0
159589970,2,2,50.0
159589970,3,3,30.0
159589970,4,4,20.0
159589970,5,5,15.0
159589970,6,7,10.0
159589970,8,10,8.0
159589970,11,13,6.0
159589970,14,16,5.0
159589970,17,20,4.0
159589970,21,25,3.0
159589970,26,35,2.0
159589970,36,60,1.5
159589970,61,140,1.0
159589970,141,370,0.75
159589970,371,1104,0.5
159589971,1,1,1000.0
159589971,2,2,600.0
159589971,3,4,300.0
159589972,1,1,150.0
159589972,2,2,100.0
159589972,3,3,70.0
159589972,4,4,45.0
159589972,5,5,30.0
159589972,6,7,25.0
159589972,8,10,20.0
159589972,11,15,15.0
159589972,16,25,12.0
159589972,26,55,10.0
159589973,1,1,100.0
159589973,2,2,60.0
159589973,3,3,40.0
159589973,4,5,30.0
159589973,6,7,20.0
159589974,1,1,250.0
159589974,2,2,150.0
159589974,3,3,100.0
159589975,1,1,500.0
159589975,2,2,220.0
159589976,1,1,120.0
159589976,2,2,72.0
159589976,3,3,48.0
159589977,1,1,200.0
159589977,2,2,125.0
159589977,3,3,75.0
159589978,1,1,5000.0
159589978,2,2,2500.0
159589978,3,3,1000.0
159589978,4,4,500.0
159589978,5,5,250.0
159589978,6,6,200.0
159589978,7,8,150.0
159589978,9,10,100.0
159589978,11,14,75.0
159589978,15,19,60.0
159589978,20,25,55.0
159589978,26,35,50.0
159589978,36,45,45.0
159589978,46,60,40.0
159589978,61,86,35.0
159589978,87,133,30.0
159589978,134,343,25.0
159589979,1,1,80.0
159589979,2,2,50.0
159589979,3,3,40.0
159589979,4,4,30.0
159589979,5,5,25.0
159589979,6,7,20.0
159589979,8,10,15.0
159589979,11,15,12.0
159589979,16,25,10.0
159589979,26,39,8.0
159589979,40,67,6.0
159589980,1,1,250.0
159589980,2,2,125.0
159589980,3,3,80.0
159589980,4,4,60.0
159589980,5,5,50.0
159589980,6,6,40.0
159589980,7,8,30.0
159589980,9,10,25.0
159589980,11,13,20.0
159589980,14,16,15.0
159589980,17,20,10.0
159589980,21,25,8.0
159589980,26,35,6.0
159589980,36,60,5.0
159589980,61,105,4.0
159589980,106,200,3.0
159589980,201,396,2.0
159589980,397,768,1.5
159589981,1,1,2000.0
159589981,2,2,750.0
159589981,3,3,350.0
159589981,4,4,200.0
159589981,5,5,150.0
159589981,6,7,100.0
159589981,8,10,80.0
159589981,11,15,60.0
159589981,16,20,50.0
159589981,21,30,40.0
159589981,31,55,30.0
159589981,56,100,25.0
159589981,101,175,20.0
159589981,176,294,15.0
159589982,1,1,100.0
159589982,2,2,50.0
159589982,3,3,30.0
159589982,4,4,20.0
159589982,5,5,15.0
159589982,6,7,10.0
159589982,8,10,8.0
159589982,11,13,6.0
159589982,14,16,5.0
159589982,17,20,4.0
159589982,21,25,3.0
159589982,26,35,2.0
159589982,36,60,1.5
159589982,61,140,1.0
159589982,141,370,0.75
159589982,371,1104,0.5
159589983,1,1,150.0
159589983,2,2,100.0
159589983,3,3,70.0
159589983,4,4,45.0
159589983,5,5,30.0
159589983,6,7,25.0
159589983,8,10,20.0
159589983,11,15,15.0
159589983,16,25,12.0
159589983,26,55,10.0
159589984,1,1,50.0
159589984,2,2,40.0
159589984,3,3,30.0
159589984,4,4,25.0
159589984,5,7,20.0
159589984,8,10,15.0
159589984,11,15,10.0
159589984,16,25,8.0
159589984,26,45,6.0
159589985,1,1,100.0
159589985,2,2,60.0
159589985,3,3,40.0
159589985,4,5,30.0
159589985,6,7,20.0
159589986,1,1,750.0
159589986,2,2,450.0
159589986,3,3,300.0
159589987,1,1,250.0
159589987,2,2,150.0
159589987,3,3,100.0
159589988,1,1,150.0
159589988,2,2,100.0
159589988,3,3,75.0
159589988,4,4,50.0
159589988,5,5,30.0
159589988,6,7,20.0
159589988,8,10,15.0
159589988,11,14,10.0
159589988,15,20,8.0
159589988,21,30,6.0
159589988,31,45,5.0
159589988,46,70,4.0
159589988,71,110,3.0
159589988,111,165,2.5
159589988,166,256,2.0
159589988,257,421,1.5
159589989,1,1,200.0
159589989,2,2,125.0
159589989,3,3,75.0
159589990,1,1,50.0
159589990,2,2,25.0
159589990,3,3,15.0
159589990,4,4,10.0
159589990,5,5,8.0
159589990,6,6,6.0
159589990,7,8,5.0
159589990,9,10,4.0
159589990,11,15,3.0
159589990,16,25,2.0
159589990,26,45,1.5
159589990,46,95,1.0
159589990,96,225,0.75
159589990,226,536,0.5
159589991,1,1,100.0
159589991,2,2,75.0
159589991,3,3,50.0
159589991,4,4,40.0
159589991,5,5,30.0
159589991,6,6,25.0
159589991,7,8,20.0
159589991,9,10,15.0
159589991,11,12,10.0
159589991,13,15,8.0
159589991,16,19,6.0
159589991,20,25,5.0
159589991,26,34,4.0
159589991,35,51,3.0
159589991,52,90,2.5
159589991,91,160,2.0
159589991,161,285,1.5
159589992,1,1,250.0
159589992,2,2,150.0
159589992,3,3,100.0
159589993,1,1,2000.0
159589993,2,2,750.0
159589993,3,3,250.0
159589993,4,4,100.0
159589993,5,5,80.0
159589993,6,6,60.0
159589993,7,7,50.0
159589993,8,9,45.0
159589993,10,12,40.0
159589993,13,17,35.0
159589993,18,29,30.0
159589993,30,47,25.0
159589993,48,77,20.0
159589993,78,138,15.0
159589994,1,1,85.0
159589994,2,2,50.0
159589994,3,3,20.0
159589995,1,1,150.0
159589995,2,2,112.5
159589995,3,3,78.75
159589995,4,4,52.5
159589995,5,5,37.5
159589995,6,10,18.75
159589995,11,20,13.12
159589995,21,30,9.38
159589996,1,1,46.0
159589996,2,2,40.0
159589996,3,3,35.0
159589996,4,4,30.0
159589996,5,5,25.0
159589996,6,7,20.0
159589996,8,9,15.0
159589996,10,11,12.0
159589996,12,16,10.0
159589996,17,26,8.0
159589997,1,1,390.0
159589997,2,2,150.0
159589998,1,1,5000.0
159589998,2,2,2000.0
159589998,3,3,1000.0
159589998,4,4,750.0
159589998,5,5,500.0
159589998,6,6,250.0
159589998,7,8,200.0
159589998,9,10,150.0
159589998,11,14,100.0
159589998,15,19,75.0
159589998,20,25,60.0
159589998,26,35,50.0
159589998,36,45,40.0
159589998,46,55,30.0
159589998,56,70,25.0
159589998,71,100,20.0
159589998,101,176,15.0
159589998,177,351,10.0
159589998,352,1051,8.0
159589999,1,1,400.0
159589999,2,2,200.0
159589999,3,3,150.0
159589999,4,4,125.0
159589999,5,5,100.0
159589999,6,6,80.0
159589999,7,7,70.0
159589999,8,8,60.0
159589999,9,9,50.0
159589999,10,11,40.0
159589999,12,16,30.0
159589999,17,27,25.0
159589999,28,47,20.0
159589999,48,89,15.0
159589999,90,212,10.0
159590000,1,1,100.0
159590000,2,2,75.0
159590000,3,3,50.0
159590000,4,4,35.0
159590000,5,5,25.0
159590000,6,6,20.0
159590000,7,8,15.0
159590000,9,10,10.0
159590000,11,13,8.0
159590000,14,16,6.0
159590000,17,20,5.0
159590000,21,25,4.0
159590000,26,30,3.0
159590000,31,45,2.0
159590000,46,85,1.5
159590000,86,205,1.0
159590000,206,555,0.75
159590000,556,1706,0.5
159590001,1,1,1080.0
159590001,2,2,540.0
159590002,1,1,500.0
159590002,2,2,300.0
159590002,3,3,200.0
159590002,4,5,100.0
159590002,6,9,75.0
159590003,1,1,750.0
159590003,2,2,300.0
159590003,3,3,200.0
159590003,4,4,150.0
159590003,5,5,120.0
159590003,6,7,100.0
159590003,8,10,80.0
159590003,11,15,60.0
159590003,16,23,40.0
159590003,24,35,30.0
159590003,36,50,20.0
159590003,51,75,10.0
159590003,76,125,7.5
159590003,126,225,5.0
159590003,226,550,2.5
159590003,551,1104,2.0
159590003,1105,2247,1.5
159590004,1,1,120.0
159590004,2,2,103.0
159590004,3,3,90.0
159590004,4,4,80.0
159590004,5,6,70.0
159590004,7,8,50.0
159590004,9,10,40.0
159590004,11,12,30.0
159590004,13,15,25.0
159590004,16,19,20.0
159590004,20,23,18.0
159590005,1,1,1000.0
159590005,2,2,800.0
159590005,3,3,600.0
159590005,4,4,500.0
159590005,5,5,400.0
159590005,6,6,300.0
159590005,7,8,200.0
159590006,1,1,6750.0
159590006,2,2,3200.0
159590007,1,1,10000.0
159590007,2,2,5000.0
159590007,3,3,3000.0
159590007,4,4,1500.0
159590007,5,5,1000.0
159590007,6,8,700.0
159590007,9,12,600.0
159590007,13,17,500.0
159590007,18,23,400.0
159590007,24,33,350.0
159590008,1,1,1000.0
159590008,2,2,500.0
159590008,3,3,350.0
159590008,4,4,250.0
159590008,5,5,200.0
159590008,6,7,150.0
159590008,8,10,100.0
159590008,11,16,75.0
159590008,17,29,50.0
159590009,1,1,25000.0
159590009,2,2,10000.0
159590009,3,3,5000.0
159590009,4,4,3000.0
159590009,5,5,2000.0
159590009,6,6,1000.0
159590009,7,8,700.0
159590009,9,10,500.0
159590009,11,13,350.0
159590009,14,21,250.0
159590009,22,31,150.0
159590009,32,45,100.0
159590009,46,75,75.0
159590009,76,135,50.0
159590009,136,235,40.0
159590009,236,460,30.0
159590009,461,910,25.0
159590009,911,1710,23.0
159590010,1,1,500.0
159590010,2,2,300.0
159590010,3,3,200.0
159590010,4,4,150.0
159590010,5,5,100.0
159590010,6,6,75.0
159590010,7,8,60.0
159590010,9,10,50.0
159590010,11,12,45.0
159590010,13,17,40.0
159590010,18,22,35.0
159590010,23,27,30.0
159590010,28,32,25.0
159590010,33,42,20.0
159590010,43,57,15.0
159590010,58,102,10.0
159590010,103,182,8.0
159590010,183,382,6.0
159590011,1,1,100.0
159590011,2,2,75.0
159590011,3,3,50.0
159590011,4,4,40.0
159590011,5,5,30.0
159590011,6,6,25.0
159590011,7,8,20.0
159590011,9,10,15.0
159590011,11,12,10.0
159590011,13,15,8.0
159590011,16,19,6.0
159590011,20,25,5.0
159590011,26,34,4.0
159590011,35,51,3.0
159590011,52,90,2.5
159590011,91,160,2.0
159590011,161,285,1.5
159590012,1,1,210.0
159590012,2,2,100.0
159590013,1,1,85.0
159590013,2,2,50.0
159590013,3,3,20.0
159590014,1,1,1000.0
159590014,2,2,300.0
159590014,3,3,150.0
159590014,4,4,100.0
159590014,5,5,70.0
159590014,6,6,50.0
159590014,7,8,30.0
159590014,9,10,25.0
159590014,11,15,20.0
159590014,16,25,15.0
159590014,26,50,10.0
159590014,51,140,8.0
159590015,1,1,30.0
159590015,2,2,25.0
159590015,3,3,20.0
159590015,4,4,15.0
159590015,5,6,10.0
159590015,7,8,8.0
159590015,9,12,6.0
159590016,1,1,40.0
159590016,2,2,20.0
159590016,3,3,15.0
159590016,4,4,10.0
159590016,5,5,8.0
159590016,6,6,6.0
159590016,7,7,5.0
159590016,8,8,4.0
159590016,9,10,3.0
159590016,11,15,2.0
159590016,16,30,1.5
159590016,31,70,1.0
159590016,71,180,0.75
159590016,181,442,0.5
159590017,1,1,300.0
159590017,2,2,200.0
159590017,3,3,100.0
159590017,4,4,80.0
159590017,5,5,65.0
159590017,6,6,50.0
159590017,7,8,40.0
159590017,9,10,30.0
159590017,11,15,25.0
159590017,16,20,20.0
159590017,21,30,15.0
159590017,31,50,10.0
159590017,51,95,8.0
159590017,96,175,6.0
159590017,176,305,5.0
159590018,1,1,100.0
159590018,2,2,50.0
159590018,3,3,30.0
159590018,4,4,20.0
159590018,5,5,15.0
159590018,6,7,10.0
159590018,8,10,8.0
159590018,11,13,6.0
159590018,14,16,5.0
159590018,17,20,4.0
159590018,21,25,3.0
159590018,26,35,2.0
159590018,36,60,1.5
159590018,61,140,1.0
159590018,141,370,0.75
159590018,371,1104,0.5
159590019,1,1,100.0
159590019,2,2,85.0
159590019,3,3,75.0
159590019,4,4,60.0
159590019,5,5,50.0
159590019,6,6,40.0
159590019,7,7,35.0
159590019,8,8,30.0
159590019,9,9,25.0
159590020,1,1,275.0
159590020,2,2,175.0
159590020,3,3,125.0
159590020,4,5,100.0
159590020,6,8,75.0
159590021,1,1,1350.0
159590022,1,1,3000.0
159590022,2,2,1500.0
159590022,3,3,1000.0
159590022,4,5,750.0
159590022,6,8,500.0
159590022,9,16,300.0
159590023,1,1,500.0
159590023,2,2,300.0
159590023,3,3,200.0
159590023,4,5,100.0
159590023,6,9,75.0
159590024,1,1,750.0
159590024,2,2,300.0
159590024,3,3,200.0
159590024,4,4,150.0
159590024,5,5,120.0
159590024,6,7,100.0
159590024,8,10,80.0
159590024,11,15,60.0
159590024,16,23,40.0
159590024,24,35,30.0
159590024,36,50,20.0
159590024,51,75,10.0
159590024,76,125,7.5
159590024,126,225,5.0
159590024,226,550,2.5
159590024,551,1104,2.0
159590024,1105,2247,1.5
159590025,1,1,4000.0
159590026,1,1,20000.0
159590026,2,2,7500.0
159590026,3,3,3000.0
159590026,4,4,2000.0
159590026,5,5,1500.0
159590026,6,6,1000.0
159590026,7,7,500.0
159590026,8,8,300.0
159590026,9,10,200.0
159590026,11,15,150.0
159590026,16,25,100.0
159590026,26,45,70.0
159590026,46,75,60.0
159590026,76,150,50.0
159590026,151,275,40.0
159590026,276,600,30.0
159590026,601,1414,25.0
159590027,1,1,700.0
159590027,2,2,500.0
159590027,3,3,350.0
159590027,4,4,250.0
159590027,5,5,200.0
159590028,1,1,200.0
159590028,2,2,150.0
159590028,3,3,100.0
159590028,4,4,75.0
159590028,5,5,50.0
159590028,6,7,40.0
159590028,8,10,30.0
159590028,11,15,25.0
159590028,16,25,20.0
159590028,26,47,15.0
159590028,48,107,10.0
159590029,1,1,500.0
159590029,2,2,220.0
