contest_id,minPosition,maxPosition,payout
193405891,1,1,1500.0
193405894,1,1,1000.0
193405894,2,2,600.0
193405894,3,3,400.0
193405897,3,3,200.0
193405897,2,2,300.0
193405897,1,1,500.0
193405900,2,2,100.0
193405900,1,1,300.0
193405904,3,3,60.0
193405904,2,2,90.0
193405904,1,1,135.0
193405905,2,2,90.0
193405905,1,1,135.0
193405905,3,3,60.0
193405909,5,5,250.0
193405909,1,1,5000.0
193405909,51,177,30.0
193405909,6,6,150.0
193405909,21,30,50.0
193405909,14,20,60.0
193405909,2,2,2000.0
193405909,3,3,1000.0
193405909,9,10,80.0
193405909,4,4,500.0
193405909,7,8,100.0
193405909,31,50,40.0
193405909,11,13,70.0
193405914,13,15,50.0
193405914,10,12,60.0
193405914,2,2,400.0
193405914,3,3,250.0
193405914,4,4,200.0
193405914,16,21,40.0
193405914,22,33,30.0
193405914,34,63,25.0
193405914,8,9,70.0
193405914,5,5,150.0
193405914,1,1,1000.0
193405914,7,7,80.0
193405914,6,6,100.0
193405915,16,20,50.0
193405915,11,15,60.0
193405915,5,5,150.0
193405915,6,7,100.0
193405915,21,30,40.0
193405915,51,87,25.0
193405915,1,1,1000.0
193405915,2,2,500.0
193405915,3,3,250.0
193405915,4,4,200.0
193405915,8,10,75.0
193405915,31,50,30.0
193405916,22,47,20.0
193405916,12,14,40.0
193405916,10,11,50.0
193405916,9,9,60.0
193405916,15,21,25.0
193405916,1,1,1000.0
193405916,2,2,300.0
193405916,3,3,200.0
193405916,4,4,150.0
193405916,7,7,80.0
193405916,6,6,100.0
193405916,5,5,125.0
193405916,8,8,70.0
193405917,9,10,60.0
193405917,1,1,2000.0
193405917,2,2,1000.0
193405917,3,3,500.0
193405917,4,4,300.0
193405917,5,5,200.0
193405917,7,7,100.0
193405917,56,136,25.0
193405917,26,55,30.0
193405917,16,25,40.0
193405917,8,8,80.0
193405917,6,6,125.0
193405917,11,15,50.0
193405924,21,25,25.0
193405924,26,30,20.0
193405924,31,50,15.0
193405924,51,96,10.0
193405924,97,241,8.0
193405924,16,20,30.0
193405924,4,4,200.0
193405924,7,8,50.0
193405924,6,6,100.0
193405924,5,5,150.0
193405924,9,10,40.0
193405924,3,3,300.0
193405924,2,2,600.0
193405924,1,1,1000.0
193405924,11,15,35.0
193405925,4,4,40.0
193405925,1,1,75.0
193405925,2,2,60.0
193405925,3,3,50.0
193405925,7,8,25.0
193405925,9,11,20.0
193405925,5,6,30.0
193405925,21,42,10.0
193405925,12,20,15.0
193405926,2,2,60.0
193405926,7,8,25.0
193405926,9,11,20.0
193405926,12,20,15.0
193405926,5,6,30.0
193405926,4,4,40.0
193405926,3,3,50.0
193405926,21,42,10.0
193405926,1,1,75.0
193405927,7,7,16.0
193405927,8,8,14.0
193405927,9,11,12.0
193405927,12,16,10.0
193405927,17,28,8.0
193405927,4,4,30.0
193405927,5,5,20.0
193405927,3,3,50.0
193405927,2,2,70.0
193405927,6,6,18.0
193405927,1,1,100.0
193405928,16,25,15.0
193405928,26,50,10.0
193405928,6,6,50.0
193405928,11,15,20.0
193405928,9,10,25.0
193405928,51,140,8.0
193405928,5,5,70.0
193405928,7,8,30.0
193405928,3,3,150.0
193405928,2,2,300.0
193405928,1,1,1000.0
193405928,4,4,100.0
193405933,7,8,6.0
193405933,6,6,8.0
193405933,5,5,10.0
193405933,4,4,12.0
193405933,3,3,15.0
193405933,1,1,25.0
193405933,2,2,18.0
193405934,3,3,15.0
193405934,7,8,6.0
193405934,6,6,8.0
193405934,5,5,10.0
193405934,4,4,12.0
193405934,2,2,18.0
193405934,1,1,25.0
193405935,6,6,8.0
193405935,5,5,10.0
193405935,4,4,12.0
193405935,3,3,15.0
193405935,2,2,18.0
193405935,1,1,25.0
193405935,7,8,6.0
193405941,3,3,50.0
193405941,52,102,2.0
193405941,1,1,100.0
193405941,103,204,1.5
193405941,4,5,25.0
193405941,6,7,15.0
193405941,2,2,75.0
193405941,12,16,7.5
193405941,17,26,5.0
193405941,27,51,2.5
193405941,8,11,10.0
193405942,23,39,2.0
193405942,4,4,10.0
193405942,3,3,15.0
193405942,40,68,1.5
193405942,1,1,50.0
193405942,2,2,25.0
193405942,5,7,7.5
193405942,8,12,5.0
193405942,13,22,2.5
193405943,23,39,2.0
193405943,13,22,2.5
193405943,40,68,1.5
193405943,5,7,7.5
193405943,4,4,10.0
193405943,3,3,15.0
193405943,2,2,25.0
193405943,1,1,50.0
193405943,8,12,5.0
193405944,1,1,50.0
193405944,2,2,25.0
193405944,4,4,10.0
193405944,5,7,7.5
193405944,8,12,5.0
193405944,13,22,2.5
193405944,3,3,15.0
193405944,40,68,1.5
193405944,23,39,2.0
193405945,1,1,50.0
193405945,2,2,40.0
193405945,3,3,30.0
193405945,4,4,22.0
193405945,5,5,16.0
193405945,6,7,12.0
193405945,8,10,9.0
193405945,16,25,4.5
193405945,11,15,6.5
193405945,46,79,2.0
193405945,80,136,1.5
193405945,26,45,3.0
193405950,8,8,15.0
193405950,7,7,20.0
193405950,6,6,25.0
193405950,16,20,6.0
193405950,21,30,5.0
193405950,5,5,30.0
193405950,31,40,4.0
193405950,4,4,40.0
193405950,3,3,50.0
193405950,1,1,500.0
193405950,41,60,3.0
193405950,11,15,8.0
193405950,326,1025,1.0
193405950,2,2,100.0
193405950,61,125,2.0
193405950,126,325,1.5
193405950,9,10,10.0
193405956,111,273,0.5
193405956,51,110,0.75
193405956,26,50,1.0
193405956,16,25,1.5
193405956,11,15,2.0
193405956,8,10,3.0
193405956,6,7,4.0
193405956,5,5,5.0
193405956,4,4,6.0
193405956,3,3,8.0
193405956,1,1,25.0
193405956,2,2,12.5
193405957,7,8,4.0
193405957,5,5,6.0
193405957,1,1,30.0
193405957,6,6,5.0
193405957,2,2,15.0
193405957,136,329,0.5
193405957,56,135,0.75
193405957,26,55,1.0
193405957,16,25,1.5
193405957,11,15,2.0
193405957,3,3,10.0
193405957,4,4,8.0
193405957,9,10,3.0
193405958,2,2,15.0
193405958,3,3,10.0
193405958,1,1,30.0
193405958,4,4,8.0
193405958,5,5,6.0
193405958,136,329,0.5
193405958,56,135,0.75
193405958,26,55,1.0
193405958,16,25,1.5
193405958,11,15,2.0
193405958,9,10,3.0
193405958,7,8,4.0
193405958,6,6,5.0
193405959,2,2,15.0
193405959,5,5,6.0
193405959,6,6,5.0
193405959,7,8,4.0
193405959,9,10,3.0
193405959,136,329,0.5
193405959,16,25,1.5
193405959,26,55,1.0
193405959,56,135,0.75
193405959,4,4,8.0
193405959,11,15,2.0
193405959,3,3,10.0
193405959,1,1,30.0
193405960,12,16,1.5
193405960,3,3,5.0
193405960,7,11,2.0
193405960,5,6,3.0
193405960,2,2,7.5
193405960,4,4,4.0
193405960,72,171,0.5
193405960,32,71,0.75
193405960,17,31,1.0
193405960,1,1,15.0
193405968,118,277,0.2
193405968,53,117,0.3
193405968,23,52,0.4
193405968,13,22,0.5
193405968,7,8,1.0
193405968,6,6,1.5
193405968,5,5,2.0
193405968,3,3,4.0
193405968,2,2,6.0
193405968,1,1,10.0
193405968,9,12,0.75
193405968,4,4,3.0
193405969,4,4,1.0
193405969,7,9,0.5
193405969,10,13,0.4
193405969,14,20,0.3
193405969,3,3,1.25
193405969,32,55,0.2
193405969,21,31,0.25
193405969,1,1,2.0
193405969,5,6,0.75
193405969,2,2,1.5
193405970,2,2,1.5
193405970,3,3,1.25
193405970,5,6,0.75
193405970,7,9,0.5
193405970,10,13,0.4
193405970,14,20,0.3
193405970,21,31,0.25
193405970,32,55,0.2
193405970,4,4,1.0
193405970,1,1,2.0
193405971,32,55,0.2
193405971,4,4,1.0
193405971,14,20,0.3
193405971,21,31,0.25
193405971,3,3,1.25
193405971,2,2,1.5
193405971,10,13,0.4
193405971,1,1,2.0
193405971,5,6,0.75
193405971,7,9,0.5
193405972,32,55,0.2
193405972,4,4,1.0
193405972,1,1,2.0
193405972,3,3,1.25
193405972,7,9,0.5
193405972,10,13,0.4
193405972,14,20,0.3
193405972,2,2,1.5
193405972,5,6,0.75
193405972,21,31,0.25
193405978,3,3,20.0
193405978,1,1,85.0
193405978,2,2,50.0
193405979,1,1,75.0
193405979,2,2,60.0
193405979,3,3,45.0
193405979,4,4,30.0
193405979,5,6,20.0
193405987,17,28,10.0
193405987,10,16,12.0
193405987,7,9,15.0
193405987,1,1,80.0
193405987,2,2,61.0
193405987,5,6,20.0
193405987,3,3,40.0
193405987,4,4,30.0
193405988,2,2,25.0
193405988,5,5,10.0
193405988,4,4,12.5
193405988,3,3,17.5
193405988,1,1,35.0
193405989,1,1,35.0
193405989,2,2,25.0
193405989,3,3,17.5
193405989,5,5,10.0
193405989,4,4,12.5
193405990,1,1,35.0
193405990,2,2,25.0
193405990,5,5,10.0
193405990,4,4,12.5
193405990,3,3,17.5
193405991,5,5,17.5
193405991,4,4,25.0
193405991,3,3,35.0
193405991,2,2,47.5
193405991,1,1,62.5
193405991,6,10,12.5
193405999,2,2,8.0
193405999,4,4,4.5
193405999,5,5,3.0
193405999,6,7,2.5
193405999,8,10,2.0
193405999,11,15,1.5
193405999,1,1,10.0
193405999,3,3,6.0
193406000,6,7,2.5
193406000,8,10,2.0
193406000,11,15,1.5
193406000,4,4,4.5
193406000,3,3,6.0
193406000,2,2,8.0
193406000,5,5,3.0
193406000,1,1,10.0
193406001,11,15,1.5
193406001,2,2,8.0
193406001,1,1,10.0
193406001,6,7,2.5
193406001,3,3,6.0
193406001,4,4,4.5
193406001,8,10,2.0
193406001,5,5,3.0
193406002,6,7,2.5
193406002,5,5,3.0
193406002,4,4,4.5
193406002,3,3,6.0
193406002,1,1,10.0
193406002,11,15,1.5
193406002,8,10,2.0
193406002,2,2,8.0
193406003,2,2,8.0
193406003,1,1,10.0
193406003,3,3,6.0
193406003,5,5,3.0
193406003,6,7,2.5
193406003,8,10,2.0
193406003,11,15,1.5
193406003,4,4,4.5
193406008,1,20,10.0
193437677,1,10,6.0
193437678,1,9,3.0
193437679,1,9,3.0
193437680,1,9,15.0
193437681,1,5,50.0
193437682,1,5,20.0
193437683,1,5,20.0
193437684,1,5,20.0
193437686,1,15,10.0
193437687,1,10,10.0
193437688,1,15,6.0
193437689,1,15,2.0
193437690,1,15,2.0
193437691,1,15,2.0
193437692,1,10,2.0
193437693,1,10,2.0
193437694,1,10,6.0
193437695,1,10,10.0
193437696,1,5,20.0
193437698,1,1,220.0
193437700,1,1,220.0
193437702,1,1,100.0
193437704,1,1,100.0
193437706,1,1,25.0
193437709,1,1,25.0
193437711,1,1,25.0
193437715,1,1,25.0
193437716,1,1,25.0
193437718,1,1,25.0
193437720,1,1,20.0
193437721,1,1,5.0
193437722,1,1,5.0
193437723,1,1,5.0
193437724,1,1,5.0
193437725,1,1,5.0
193437726,1,5,5.0
193437727,1,5,5.0
193437728,1,5,5.0
193437729,1,5,5.0
193437730,1,5,5.0
193437763,1,1,100.0
193437793,1,10,2.0
193437794,1,10,2.0
193437795,1,10,2.0
193437796,1,10,2.0
193437797,1,10,2.0
193437798,1,10,2.0
193437799,1,1,110.0
193437800,1,1,25.0
193437801,1,1,25.0
193437802,1,1,25.0
193437803,1,5,18.0
193437804,1,5,5.4
193437805,1,5,9.0
193437806,1,5,1.8
193437807,1,1,5.0
193437808,1,1,5.0
193437809,1,1,5.0
193437810,1,1,5.0
193437811,1,1,5.0
193437812,1,5,5.0
193437813,1,10,2.0
193437814,1,10,2.0
193437815,1,10,2.0
193437816,1,10,2.0
193437817,1,10,2.0
193437818,1,10,2.0
193437819,1,1,110.0
193437820,1,1,25.0
193437821,1,1,25.0
193437822,1,1,25.0
193437823,1,5,18.0
193437824,1,5,5.4
193437825,1,5,9.0
193437826,1,5,1.8
193437827,1,1,5.0
193437828,1,1,5.0
193437830,1,1,5.0
193437831,1,1,5.0
193437833,1,1,5.0
193437835,1,5,5.0
193437837,1,10,2.0
193437839,1,10,2.0
193437841,1,10,2.0
193437843,1,10,2.0
193437845,1,10,2.0
193437846,1,10,2.0
193437848,1,1,110.0
193437850,1,1,25.0
193437852,1,1,25.0
193437854,1,1,25.0
193437856,1,5,18.0
193437857,1,5,5.4
193437858,1,5,9.0
193437859,1,5,1.8
193437860,1,1,5.0
193437861,1,1,5.0
193437862,1,1,5.0
193437863,1,1,5.0
193437864,1,1,5.0
193437865,1,5,5.0
193437866,1,10,2.0
193437867,1,10,2.0
193437868,1,10,2.0
193437869,1,10,2.0
193437870,1,10,2.0
193437871,1,10,2.0
193437872,1,1,110.0
193437873,1,1,25.0
193437874,1,1,25.0
193437875,1,1,25.0
193437876,1,5,18.0
193437877,1,5,5.4
193437878,1,5,9.0
193437879,1,5,1.8
193437880,1,1,5.0
193437881,1,1,5.0
193437882,1,1,5.0
193437883,1,1,5.0
193437884,1,1,5.0
193437885,1,5,5.0
193437958,1,1,5.4
193437959,1,1,27.0
193437960,1,1,13.5
193437961,1,1,2.7
193437962,1,1,5.0
193437962,2,2,2.5
193437962,3,3,1.5
193437963,2,2,1.5
193437963,1,1,3.0
193437964,1,1,2.7
193437965,1,1,2.7
193437966,1,5,36.0
193437967,1,5,18.0
193437968,1,5,9.0
193437969,1,5,5.4
193437970,1,5,1.8
193437971,1,1,13.5
193437972,1,1,5.4
193437973,1,1,5.4
193437974,1,1,5.4
193437975,2,2,3.0
193437975,1,1,6.0
193437976,1,1,10.0
193437976,2,2,5.0
193437976,3,3,3.0
193437977,1,1,13.5
193437978,2,2,7.5
193437978,1,1,15.0
193437979,1,1,25.0
193437979,3,3,7.5
193437979,2,2,12.5
193437980,2,2,15.0
193437980,1,1,30.0
193437981,1,1,27.0
193437982,1,1,54.0
193437983,2,2,75.0
193437983,1,1,150.0
193437984,1,1,135.0
193437985,1,1,300.0
193437986,1,1,450.0
193437987,1,1,1500.0
193437988,1,1,3000.0
193437989,1,1,15000.0
193437990,1,1,30000.0
193437991,1,2,36.0
193437992,1,5,18.0
193437993,1,5,1.8
193437994,1,5,5.4
193437995,1,5,9.0
193437996,1,2,10000.0
193437997,1,2,2000.0
193437998,1,2,1000.0
193437999,1,2,200.0
193438000,1,2,90.0
193438001,1,2,36.0
193438002,1,2,18.0
193438003,1,5,90.0
193438004,1,5,1.8
193438005,1,5,9.0
193438006,1,3,200.0
193438007,1,5,3.6
193438008,1,5,36.0
193438009,1,5,18.0
193438010,1,10,9.0
193438011,1,10,18.0
193438012,1,10,36.0
193438013,1,10,3.6
193438014,1,10,1.8
193438015,1,1,4000.0
193438016,1,1,4000.0
193438017,1,1,1000.0
193438018,1,1,460.0
193438019,1,1,5700.0
193438020,1,1,20.0
193438021,1,1,20.0
193438022,1,1,5.4
193438023,1,1,27.0
193438024,1,1,13.5
193438025,1,1,2.7
193438026,3,3,1.5
193438026,2,2,2.5
193438026,1,1,5.0
193438027,2,2,1.5
193438027,1,1,3.0
193438028,1,1,2.7
193438029,1,1,2.7
193438030,1,5,36.0
193438031,1,5,18.0
193438032,1,5,9.0
193438033,1,5,5.4
193438034,1,5,1.8
193438035,1,1,13.5
193438036,1,1,5.4
193438037,1,1,5.4
193438038,1,1,5.4
193438039,1,1,6.0
193438039,2,2,3.0
193438040,1,1,10.0
193438040,3,3,3.0
193438040,2,2,5.0
193438041,1,1,13.5
193438042,2,2,7.5
193438042,1,1,15.0
193438043,3,3,7.5
193438043,2,2,12.5
193438043,1,1,25.0
193438044,1,1,30.0
193438044,2,2,15.0
193438045,1,1,27.0
193438046,1,1,54.0
193438047,1,1,150.0
193438047,2,2,75.0
193438048,1,1,135.0
193438049,1,1,300.0
193438050,1,1,450.0
193438051,1,1,1500.0
193438052,1,1,3000.0
193438053,1,1,15000.0
193438054,1,1,30000.0
193438055,1,2,36.0
193438056,1,5,18.0
193438057,1,5,1.8
193438058,1,5,5.4
193438059,1,5,9.0
193438060,1,2,10000.0
193438061,1,2,2000.0
193438062,1,2,1000.0
193438063,1,2,200.0
193438064,1,2,90.0
193438065,1,2,36.0
193438066,1,2,18.0
193438067,1,5,90.0
193438068,1,5,1.8
193438069,1,5,9.0
193438070,1,3,200.0
193438071,1,5,3.6
193438072,1,5,36.0
193438073,1,5,18.0
193438074,1,10,9.0
193438075,1,10,18.0
193438076,1,10,36.0
193438077,1,10,3.6
193438078,1,10,1.8
193438079,1,1,4000.0
193438080,1,1,4000.0
193438081,1,1,1000.0
193438082,1,1,460.0
193438083,1,1,5700.0
193438084,1,1,20.0
193438085,1,1,20.0
193438086,1,1,5.4
193438087,1,1,27.0
193438088,1,1,13.5
193438089,1,1,2.7
193438090,2,2,2.5
193438090,1,1,5.0
193438090,3,3,1.5
193438091,1,1,3.0
193438091,2,2,1.5
193438092,1,1,2.7
193438093,1,1,2.7
193438094,1,5,36.0
193438095,1,5,18.0
193438096,1,5,9.0
193438098,1,5,5.4
193438099,1,5,1.8
193438100,1,1,13.5
193438101,1,1,5.4
193438102,1,1,5.4
193438103,1,1,5.4
