contest_id,minPosition,maxPosition,payout
145882152,1,1,175.0
145882152,14,18,30.0
145882152,11,13,35.0
145882152,8,10,40.0
145882152,6,7,45.0
145882152,2,2,125.0
145882152,5,5,60.0
145882152,4,4,75.0
145882152,3,3,100.0
145884006,1,1,30.0
145884006,3,3,10.0
145884006,2,2,15.0
145884006,5,5,6.0
145884006,6,6,5.0
145884006,7,8,4.0
145884006,9,10,3.0
145884006,11,15,2.0
145884006,16,25,1.5
145884006,26,55,1.0
145884006,56,135,0.75
145884006,136,329,0.5
145884006,4,4,8.0
145884007,2,2,500.0
145884007,4,4,200.0
145884007,1,1,800.0
145884007,3,3,300.0
145884008,1,1,50.0
145884008,3,3,30.0
145884008,4,4,25.0
145884008,5,7,20.0
145884008,11,15,10.0
145884008,16,25,8.0
145884008,26,45,6.0
145884008,2,2,40.0
145884008,8,10,15.0
145884009,166,256,2.0
145884009,8,10,15.0
145884009,11,14,10.0
145884009,15,20,8.0
145884009,21,30,6.0
145884009,257,421,1.5
145884009,31,45,5.0
145884009,111,165,2.5
145884009,5,5,30.0
145884009,6,7,20.0
145884009,4,4,50.0
145884009,46,70,4.0
145884009,2,2,100.0
145884009,1,1,150.0
145884009,71,110,3.0
145884009,3,3,75.0
145884010,31,40,2.0
145884010,11,20,3.0
145884010,6,10,4.0
145884010,5,5,8.0
145884010,4,4,12.0
145884010,2,2,28.0
145884010,1,1,40.0
145884010,3,3,17.0
145884010,21,30,2.5
145884011,23,52,0.4
145884011,1,1,10.0
145884011,2,2,6.0
145884011,3,3,4.0
145884011,4,4,3.0
145884011,5,5,2.0
145884011,6,6,1.5
145884011,7,8,1.0
145884011,9,12,0.75
145884011,13,22,0.5
145884011,53,117,0.3
145884011,118,277,0.2
145884012,1,1,2100.0
145884012,2,2,1400.0
145884012,3,3,800.0
145884012,4,4,500.0
145884013,1,1,225.0
145884013,3,3,125.0
145884013,2,2,150.0
145884013,4,4,100.0
145884013,5,6,75.0
145884014,3,3,75.0
145884014,4,4,50.0
