contest_id,minPosition,maxPosition,payout
153367811,1,1,500.0
153367811,2,2,300.0
153367811,3,3,200.0
153367811,4,4,150.0
153367811,5,6,100.0
153367811,7,10,50.0
153367811,11,15,25.0
153367811,16,25,10.0
153367811,26,75,5.0
153367811,76,200,3.0
153367811,201,500,2.0
153367811,501,2500,1.0
153386788,1,1,500.0
153386788,2,2,400.0
153386788,3,3,300.0
153386788,4,4,250.0
153386788,5,6,200.0
153386788,7,9,150.0
153386788,10,16,100.0
153386789,1,1,2000.0
153386789,2,2,400.0
153386789,3,3,200.0
153386789,4,4,100.0
153386789,5,5,75.0
153386789,6,7,60.0
153386789,8,10,50.0
153386789,11,13,40.0
153386789,14,16,35.0
153386789,17,20,30.0
153386789,21,25,25.0
153386789,26,35,20.0
153386789,36,45,15.0
153386789,46,65,10.0
153386789,66,100,8.0
153386789,101,191,6.0
153386789,192,352,5.0
153386789,353,1053,4.0
153386790,1,1,1000.0
153386790,2,2,500.0
153386790,3,3,250.0
153386790,4,4,150.0
153386790,5,5,100.0
153386790,6,6,75.0
153386790,7,8,50.0
153386790,9,10,30.0
153386790,11,14,25.0
153386790,15,19,20.0
153386790,20,25,15.0
153386790,26,35,10.0
153386790,36,45,8.0
153386790,46,60,6.0
153386790,61,100,5.0
153386790,101,195,4.0
153386790,196,405,3.0
153386790,406,865,2.0
153386790,866,1811,1.5
153386790,1812,5467,1.0
153386791,1,1,1000.0
153386791,2,2,500.0
153386791,3,3,350.0
153386791,4,4,250.0
153386791,5,5,200.0
153386791,6,7,150.0
153386791,8,10,125.0
153386791,11,14,100.0
153386791,15,20,75.0
153386791,21,27,60.0
153386791,28,36,50.0
153386791,37,47,45.0
153386791,48,62,40.0
153386791,63,84,35.0
153386791,85,115,30.0
153386791,116,161,25.0
153386791,162,229,20.0
153386792,1,1,1000.0
153386792,2,2,600.0
153386792,3,3,400.0
153386792,4,4,300.0
153386792,5,5,250.0
153386792,6,6,200.0
153386792,7,7,175.0
153386792,8,8,150.0
153386792,9,9,125.0
153386792,10,10,100.0
153386792,11,12,80.0
153386792,13,15,60.0
153386792,16,20,40.0
153386792,21,30,30.0
153386792,31,50,20.0
153386792,51,94,15.0
153386792,95,244,12.0
153386792,245,544,10.0
153386793,1,1,300.0
153386793,2,2,200.0
153386793,3,3,100.0
153386793,4,4,80.0
153386793,5,5,65.0
153386793,6,6,50.0
153386793,7,8,40.0
153386793,9,10,30.0
153386793,11,12,25.0
153386793,13,15,20.0
153386793,16,20,15.0
153386793,21,30,10.0
153386793,31,45,8.0
153386793,46,80,6.0
153386793,81,145,5.0
153386793,146,265,4.0
153386793,266,480,3.0
153386794,1,1,300.0
153386794,2,2,150.0
153386794,3,3,100.0
153386794,4,4,80.0
153386794,5,5,65.0
153386794,6,6,50.0
153386794,7,8,40.0
153386794,9,10,30.0
153386794,11,12,25.0
153386794,13,15,20.0
153386794,16,19,15.0
153386794,20,25,10.0
153386794,26,35,8.0
153386794,36,45,6.0
153386794,46,65,5.0
153386794,66,110,4.0
153386794,111,210,3.0
153386794,211,437,2.0
153386794,438,911,1.5
153386795,1,20,200.0
153386796,1,30,100.0
153386797,1,150,20.0
153386798,1,300,10.0
153386799,1,1,1500.0
153386799,2,2,750.0
153386799,3,3,500.0
153386799,4,5,400.0
153386799,6,7,300.0
153386799,8,10,225.0
153386799,11,13,200.0
153386799,14,18,175.0
153386799,19,26,150.0
153386800,1,1,500.0
153386800,2,2,300.0
153386800,3,3,200.0
153386800,4,4,150.0
153386800,5,5,100.0
153386800,6,6,75.0
153386800,7,8,60.0
153386800,9,10,50.0
153386800,11,12,45.0
153386800,13,15,40.0
153386800,16,20,35.0
153386800,21,25,30.0
153386800,26,35,25.0
153386800,36,55,20.0
153386800,56,95,15.0
153386800,96,262,10.0
153386801,1,40,100.0
153386802,1,200,20.0
153386803,1,400,10.0
153386804,1,500,4.0
153386805,1,1,600.0
153386805,2,2,500.0
153386805,3,3,400.0
153386805,4,4,300.0
153386805,5,5,200.0
153386805,6,6,150.0
153386805,7,7,120.0
153386805,8,9,100.0
153386805,10,14,80.0
153386805,15,24,60.0
153386805,25,45,50.0
153386805,46,82,40.0
153386806,1,1,750.0
153386806,2,2,400.0
153386806,3,3,250.0
153386806,4,4,150.0
153386806,5,5,100.0
153386806,6,7,90.0
153386806,8,10,80.0
153386806,11,12,70.0
153386806,13,14,60.0
153386806,15,16,50.0
153386806,17,20,40.0
153386806,21,26,30.0
153386806,27,38,20.0
153386806,39,68,15.0
153386806,69,157,10.0
153386806,158,357,7.0
153386806,358,707,5.0
153386807,1,1,750.0
153386807,2,2,500.0
153386807,3,3,300.0
153386807,4,4,200.0
153386807,5,5,150.0
153386807,6,6,125.0
153386807,7,7,100.0
153386807,8,8,90.0
153386807,9,9,80.0
153386807,10,10,70.0
153386807,11,11,60.0
153386807,12,12,50.0
153386807,13,14,40.0
153386807,15,17,30.0
153386807,18,21,25.0
153386807,22,26,20.0
153386807,27,37,15.0
153386807,38,57,12.0
153386807,58,121,10.0
153386807,122,221,8.0
153386807,222,381,6.0
153386807,382,651,5.0
153386808,1,1,300.0
153386808,2,2,200.0
153386808,3,3,125.0
153386808,4,4,80.0
153386808,5,5,55.0
153386808,6,10,30.0
153386808,11,15,25.0
153386808,16,20,20.0
153386808,21,25,15.0
153386808,26,30,10.0
153386808,31,40,8.0
153386808,41,50,6.0
153386808,51,60,5.0
153386808,61,75,4.0
153386808,76,130,3.0
153386808,131,295,2.0
153386808,296,645,1.5
153386808,646,1560,1.0
153386808,1561,3800,0.75
153386808,3801,8550,0.5
153386809,1,1,3000.0
153386809,2,2,1900.0
153386809,3,3,1000.0
153386809,4,4,600.0
153386810,1,1,3000.0
153386810,2,2,2000.0
153386810,3,3,1500.0
153386810,4,4,1000.0
153386810,5,6,750.0
153386810,7,8,500.0
153386811,1,1,5000.0
153386811,2,2,3000.0
153386811,3,3,2000.0
153386811,4,4,1500.0
153386811,5,5,1000.0
153386811,6,7,750.0
153386811,8,10,600.0
153386811,11,15,500.0
153386811,16,25,400.0
153386811,26,50,300.0
153386811,51,101,200.0
153386812,1,1,2500.0
153386812,2,2,1500.0
153386812,3,3,1000.0
153386812,4,4,750.0
153386812,5,6,600.0
153386812,7,8,500.0
153386812,9,10,400.0
153386812,11,12,350.0
153386812,13,15,300.0
153386812,16,20,250.0
153386812,21,28,200.0
153386812,29,40,150.0
153386813,1,1,3000.0
153386813,2,2,1500.0
153386813,3,3,1000.0
153386813,4,4,800.0
153386813,5,5,600.0
153386813,6,6,500.0
153386813,7,8,400.0
153386813,9,10,300.0
153386813,11,15,250.0
153386813,16,25,200.0
153386813,26,40,150.0
153386813,41,70,100.0
153386813,71,110,80.0
153386813,111,185,60.0
153386814,1,1,2500.0
153386814,2,2,1500.0
153386814,3,3,800.0
153386814,4,4,600.0
153386814,5,5,450.0
153386814,6,7,350.0
153386814,8,10,250.0
153386814,11,15,200.0
153386814,16,28,100.0
153386814,29,49,80.0
153386814,50,73,70.0
153386814,74,107,60.0
153386815,1,1,800.0
153386815,2,2,600.0
153386815,3,3,500.0
153386815,4,4,400.0
153386815,5,5,300.0
153386815,6,6,250.0
153386815,7,7,200.0
153386815,8,9,150.0
153386815,10,12,100.0
153386815,13,16,80.0
153386815,17,21,70.0
153386815,22,31,60.0
153386815,32,47,55.0
153386815,48,71,50.0
153386816,1,1,1500.0
153386816,2,2,1000.0
153386816,3,3,750.0
153386816,4,4,500.0
153386816,5,5,400.0
153386816,6,6,300.0
153386816,7,8,200.0
153386816,9,10,150.0
153386816,11,15,100.0
153386816,16,20,75.0
153386816,21,30,50.0
153386816,31,45,45.0
153386816,46,70,40.0
153386816,71,110,35.0
153386816,111,180,30.0
153386816,181,312,25.0
153386817,1,8,500.0
153386818,1,25,200.0
153386819,1,160,50.0
153386820,1,120,50.0
153386821,1,1,300.0
153386821,2,2,250.0
153386821,3,3,200.0
153386821,4,4,150.0
153386821,5,5,100.0
153386822,1,1,5000.0
153386822,2,2,2000.0
153386822,3,3,1000.0
153386822,4,4,750.0
153386822,5,5,500.0
153386822,6,6,400.0
153386822,7,8,300.0
153386822,9,10,200.0
153386822,11,12,100.0
153386822,13,15,50.0
153386822,16,20,40.0
153386822,21,30,30.0
153386822,31,50,20.0
153386822,51,100,15.0
153386822,101,255,10.0
153386822,256,980,8.0
153386823,1,1,1000.0
153386823,2,2,600.0
153386823,3,3,300.0
153386824,1,1,100.0
153386824,2,2,75.0
153386824,3,3,50.0
153386824,4,4,35.0
153386824,5,5,25.0
153386824,6,6,20.0
153386824,7,8,15.0
153386824,9,10,10.0
153386824,11,13,8.0
153386824,14,16,6.0
153386824,17,20,5.0
153386824,21,25,4.0
153386824,26,40,3.0
153386824,41,80,2.0
153386824,81,165,1.5
153386824,166,395,1.0
153386824,396,975,0.75
153386824,976,2266,0.5
153386825,1,1,200.0
153386825,2,2,150.0
153386825,3,3,100.0
153386825,4,4,75.0
153386825,5,5,60.0
153386825,6,6,50.0
153386825,7,7,40.0
153386825,8,8,30.0
153386825,9,10,25.0
153386825,11,13,20.0
153386825,14,20,15.0
153386825,21,36,10.0
153386825,37,76,8.0
153386825,77,176,6.0
153386826,1,1,600.0
153386826,2,2,400.0
153386826,3,3,300.0
153386826,4,4,250.0
153386826,5,5,200.0
153386826,6,6,150.0
153386826,7,7,125.0
153386826,8,8,100.0
153386826,9,9,90.0
153386826,10,10,80.0
153386826,11,11,70.0
153386826,12,12,60.0
153386826,13,14,50.0
153386826,15,17,40.0
153386826,18,20,30.0
153386826,21,24,20.0
153386826,25,29,15.0
153386826,30,40,10.0
153386826,41,65,8.0
153386826,66,115,6.0
153386826,116,215,4.0
153386826,216,415,3.0
153386826,416,915,2.0
153386826,916,1915,1.5
