Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,90.48%,13.5
De'Aaron Fox,UTIL,61.90%,12.5
Kyle Anderson,UTIL,61.90%,8.5
Harrison Barnes,UTIL,47.62%,4.5
Taurean Prince,UTIL,42.86%,0.0
Anthony Edwards,UTIL,38.10%,7.75
Rudy Gobert,UTIL,33.33%,14.25
Jaden McDaniels,UTIL,33.33%,8.25
Naz Reid,UTIL,33.33%,0.0
Trey Lyles,UTIL,33.33%,4.75
Kevin Huerter,UTIL,28.57%,5.5
Mike Conley,UTIL,23.81%,12.5
Malik Monk,UTIL,19.05%,2.0
Nickeil Alexander-Walker,UTIL,19.05%,9.0
Jordan McLaughlin,UTIL,19.05%,0.0
Chimezie Metu,UTIL,9.52%,0.0
Terence Davis,UTIL,4.76%,0.0
