Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,82.93%,39.0
Jeremy Sochan,PF,65.85%,28.0
Tari Eason,SF,58.54%,38.25
Anthony Edwards,SG,43.90%,43.0
Hamidou Diallo,SG,43.90%,26.75
De'Aaron Fox,PG,41.46%,38.5
Joel Embiid,C,39.02%,56.0
Marvin Bagley III,PF,36.59%,48.25
Jalen Green,SG,31.71%,19.0
Tyrese Maxey,PG,24.39%,32.25
Tre Jones,PG,24.39%,19.75
Keegan Murray,SF,21.95%,6.25
Rudy Gobert,C,19.51%,35.5
Zach Collins,C,17.07%,39.0
Killian Hayes,PG,17.07%,16.5
Tyler Herro,PG,14.63%,34.5
James Harden,PG,12.20%,69.25
Jimmy Butler,SF,12.20%,44.25
Bam Adebayo,C,12.20%,57.75
Evan Mobley,PF,9.76%,48.75
Jarrett Allen,C,9.76%,24.75
Jaden Ivey,PG,9.76%,16.0
Tobias Harris,SF,9.76%,6.0
Charles Bassey,C,9.76%,28.5
Giannis Antetokounmpo,PF,7.32%,58.25
Donovan Mitchell,PG,7.32%,36.25
Dejounte Murray,PG,7.32%,23.75
Kyle Anderson,SF,7.32%,47.25
James Wiseman,C,7.32%,19.75
Harrison Barnes,SF,7.32%,27.0
Caris LeVert,SG,7.32%,20.5
Blake Wesley,PG,7.32%,6.5
Alperen Sengun,C,4.88%,36.5
Kevin Porter Jr.,PG,4.88%,28.0
Clint Capela,C,4.88%,37.75
KJ Martin,F,4.88%,34.75
Jabari Smith Jr.,PF,4.88%,17.0
Keita Bates-Diop,SF,4.88%,30.25
Malik Monk,SG,4.88%,16.75
Naz Reid,PF,4.88%,17.5
Romeo Langford,SG,4.88%,7.25
Domantas Sabonis,UTIL,2.44%,51.0
Trae Young,G,2.44%,35.5
Brook Lopez,C,2.44%,42.5
Mike Conley,G,2.44%,34.25
Kevin Love,PF,2.44%,16.25
Kevin Huerter,SG,2.44%,39.0
Jaden McDaniels,SF,2.44%,31.5
John Collins,PF,2.44%,3.75
De'Anthony Melton,F,2.44%,9.0
Trey Lyles,PF,2.44%,30.0
Taurean Prince,SF,2.44%,10.0
Dean Wade,C,2.44%,8.25
