Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,70.21%,39.0
Jeremy Sochan,PF,61.70%,28.0
Tari Eason,SF,53.19%,38.25
Jalen Green,PG,42.55%,19.0
Hamidou Diallo,SG,38.30%,26.75
Joel Embiid,C,36.17%,56.0
Anthony Edwards,SG,36.17%,43.0
Tyrese Maxey,PG,31.91%,32.25
Keegan Murray,SF,31.91%,6.25
De'Aaron Fox,PG,25.53%,38.5
Evan Mobley,PF,23.40%,48.75
Zach Collins,C,23.40%,39.0
Marvin Bagley III,PF,23.40%,48.25
James Harden,PG,19.15%,69.25
Tre Jones,PG,19.15%,19.75
Tyler Herro,SG,14.89%,34.5
Jarrett Allen,C,14.89%,24.75
Dejounte Murray,PG,12.77%,23.75
Jaden Ivey,PG,12.77%,16.0
Killian Hayes,PG,12.77%,16.5
Donovan Mitchell,PG,10.64%,36.25
Harrison Barnes,SF,10.64%,27.0
Bam Adebayo,C,8.51%,57.75
Rudy Gobert,C,8.51%,35.5
Bobby Portis,PF,8.51%,13.75
Khris Middleton,SF,8.51%,14.25
Kyle Anderson,SF,8.51%,47.25
James Wiseman,C,8.51%,19.75
Charles Bassey,C,8.51%,28.5
Giannis Antetokounmpo,PF,6.38%,58.25
Domantas Sabonis,UTIL,6.38%,51.0
Jimmy Butler,SF,6.38%,44.25
Darius Garland,PG,6.38%,40.75
Mike Conley,G,6.38%,34.25
Jabari Smith Jr.,PF,6.38%,17.0
Jaden McDaniels,SF,6.38%,31.5
De'Anthony Melton,SG,6.38%,9.0
Caris LeVert,SG,6.38%,20.5
Rodney McGruder,SG,6.38%,6.0
Brook Lopez,C,4.26%,42.5
Tobias Harris,SF,4.26%,6.0
Kevin Huerter,SG,4.26%,39.0
De'Andre Hunter,SF,4.26%,25.75
Trey Lyles,PF,4.26%,30.0
Alperen Sengun,C,2.13%,36.5
Kevin Porter Jr.,PG,2.13%,28.0
Clint Capela,C,2.13%,37.75
KJ Martin,SF,2.13%,34.75
Kevin Love,F,2.13%,16.25
Keita Bates-Diop,SF,2.13%,30.25
John Collins,C,2.13%,3.75
Naz Reid,F,2.13%,17.5
Caleb Martin,F,2.13%,24.25
TyTy Washington Jr.,UTIL,2.13%,0.0
Isaac Okoro,F,2.13%,8.5
Isaiah Livers,SF,2.13%,17.5
Blake Wesley,PG,2.13%,6.5
Dominick Barlow,F,2.13%,6.5
