Player,Roster Position,%Drafted,FPTS
Tari Eason,SF,85.71%,38.25
Devonte' Graham,PG,71.43%,39.0
Jeremy Sochan,PF,64.29%,28.0
Tyrese Maxey,SG,57.14%,32.25
Joel Embiid,UTIL,42.86%,56.0
Jalen Green,PG,42.86%,19.0
Marvin Bagley III,PF,35.71%,48.25
Keegan Murray,PF,35.71%,6.25
Tyler Herro,PG,28.57%,34.5
Zach Collins,C,28.57%,39.0
Kyle Anderson,SF,28.57%,47.25
Domantas Sabonis,C,21.43%,51.0
De'Aaron Fox,G,21.43%,38.5
Mike Conley,G,21.43%,34.25
Giannis Antetokounmpo,UTIL,14.29%,58.25
Anthony Edwards,SF,14.29%,43.0
Bam Adebayo,C,14.29%,57.75
Evan Mobley,PF,14.29%,48.75
Jarrett Allen,C,14.29%,24.75
Jabari Smith Jr.,PF,14.29%,17.0
Killian Hayes,PG,14.29%,16.5
Tre Jones,PG,14.29%,19.75
Kevin Huerter,SF,14.29%,39.0
James Harden,PG,7.14%,69.25
Donovan Mitchell,PG,7.14%,36.25
Kevin Porter Jr.,PG,7.14%,28.0
Rudy Gobert,C,7.14%,35.5
Brook Lopez,C,7.14%,42.5
Keita Bates-Diop,SF,7.14%,30.25
Malik Monk,SG,7.14%,16.75
James Wiseman,C,7.14%,19.75
Harrison Barnes,F,7.14%,27.0
Hamidou Diallo,SF,7.14%,26.75
Caleb Martin,UTIL,7.14%,24.25
Caris LeVert,SG,7.14%,20.5
