Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,UTIL,100.00%,58.25
Joel Embiid,UTIL,80.00%,56.0
James Harden,UTIL,60.00%,69.25
Jrue Holiday,UTIL,40.00%,54.0
Brook Lopez,UTIL,40.00%,42.5
Tobias Harris,UTIL,40.00%,6.0
De'Anthony Melton,UTIL,40.00%,9.0
Jalen McDaniels,UTIL,40.00%,11.0
Pat Connaughton,UTIL,20.00%,3.5
Jae Crowder,UTIL,20.00%,4.75
Jevon Carter,UTIL,20.00%,11.25
Joe Ingles,UTIL,20.00%,12.25
P.J. Tucker,UTIL,20.00%,8.0
AJ Green,UTIL,20.00%,0.0
Khris Middleton,CPT,20.00%,21.38
Grayson Allen,CPT,20.00%,46.88
