Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,80.00%,39.0
Jalen Green,PG,70.00%,19.0
Jeremy Sochan,PF,60.00%,28.0
Hamidou Diallo,SF,50.00%,26.75
Tari Eason,SF,50.00%,38.25
Joel Embiid,C,40.00%,56.0
Tre Jones,PG,40.00%,19.75
Giannis Antetokounmpo,PF,30.00%,58.25
James Harden,PG,30.00%,69.25
Marvin Bagley III,PF,30.00%,48.25
Caris LeVert,SG,30.00%,20.5
Bam Adebayo,C,20.00%,57.75
Evan Mobley,PF,20.00%,48.75
Tyrese Maxey,SG,20.00%,32.25
Harrison Barnes,PF,20.00%,27.0
Charles Bassey,C,20.00%,28.5
Domantas Sabonis,UTIL,10.00%,51.0
Anthony Edwards,F,10.00%,43.0
Donovan Mitchell,SG,10.00%,36.25
Jimmy Butler,F,10.00%,44.25
Darius Garland,PG,10.00%,40.75
Dejounte Murray,G,10.00%,23.75
Alperen Sengun,C,10.00%,36.5
Tyler Herro,SG,10.00%,34.5
Jarrett Allen,C,10.00%,24.75
Zach Collins,UTIL,10.00%,39.0
KJ Martin,SF,10.00%,34.75
Jaden Ivey,PG,10.00%,16.0
Kyle Anderson,UTIL,10.00%,47.25
Jabari Smith Jr.,PF,10.00%,17.0
James Wiseman,C,10.00%,19.75
De'Andre Hunter,PF,10.00%,25.75
Keegan Murray,F,10.00%,6.25
Trey Lyles,C,10.00%,30.0
Taurean Prince,F,10.00%,10.0
