Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,74.19%,32.25
Harrison Barnes,SF,64.52%,27.0
Keegan Murray,SF,58.06%,6.25
Joel Embiid,C,48.39%,56.0
De'Anthony Melton,SG,48.39%,9.0
Kyle Anderson,SF,45.16%,47.25
Jaden McDaniels,SF,41.94%,31.5
De'Aaron Fox,PG,35.48%,38.5
James Harden,PG,32.26%,69.25
Naz Reid,PF,32.26%,17.5
Tobias Harris,SF,29.03%,6.0
Mike Conley,PG,25.81%,34.25
Giannis Antetokounmpo,PF,25.81%,58.25
Kevin Huerter,SG,25.81%,39.0
Anthony Edwards,SG,25.81%,43.0
Domantas Sabonis,C,22.58%,51.0
Taurean Prince,SF,19.35%,10.0
Rudy Gobert,C,19.35%,35.5
Brook Lopez,C,16.13%,42.5
Malik Monk,SG,16.13%,16.75
Jrue Holiday,PG,12.90%,54.0
Joe Ingles,PG,12.90%,12.25
Pat Connaughton,SF,9.68%,3.5
Jevon Carter,PG,9.68%,11.25
Trey Lyles,PF,9.68%,30.0
Grayson Allen,SG,6.45%,31.25
Davion Mitchell,SG,6.45%,3.5
P.J. Tucker,UTIL,3.23%,8.0
Khris Middleton,UTIL,3.23%,14.25
Jae Crowder,PF,3.23%,4.75
Austin Rivers,PG,3.23%,0.0
Bobby Portis,F,3.23%,13.75
Terence Davis,F,3.23%,5.25
Jalen McDaniels,SF,3.23%,11.0
Nickeil Alexander-Walker,G,3.23%,33.25
