Player,Roster Position,%Drafted,FPTS
Fred VanVleet,UTIL,87.50%,59.5
Kristaps Porzingis,UTIL,81.25%,50.75
Jakob Poeltl,UTIL,81.25%,21.25
Pascal Siakam,UTIL,75.00%,36.5
Bradley Beal,UTIL,62.50%,45.0
Delon Wright,UTIL,43.75%,50.5
Corey Kispert,UTIL,43.75%,20.0
OG Anunoby,UTIL,31.25%,15.75
Kyle Kuzma,UTIL,25.00%,23.5
Daniel Gafford,UTIL,25.00%,17.0
Scottie Barnes,UTIL,18.75%,24.25
Gary Trent Jr.,UTIL,6.25%,44.25
Deni Avdija,UTIL,6.25%,2.0
Precious Achiuwa,UTIL,6.25%,7.5
Chris Boucher,UTIL,6.25%,16.5
