Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,95.45%,13.5
De'Aaron Fox,UTIL,54.55%,12.5
Kyle Anderson,UTIL,54.55%,8.5
Kevin Huerter,UTIL,50.00%,5.5
Harrison Barnes,UTIL,50.00%,4.5
Jaden McDaniels,UTIL,45.45%,8.25
Taurean Prince,UTIL,40.91%,0.0
Anthony Edwards,UTIL,36.36%,7.75
Naz Reid,UTIL,31.82%,0.0
Trey Lyles,UTIL,31.82%,4.75
Rudy Gobert,UTIL,27.27%,14.25
Mike Conley,UTIL,27.27%,12.5
Malik Monk,UTIL,18.18%,2.0
Jordan McLaughlin,UTIL,18.18%,0.0
Nickeil Alexander-Walker,UTIL,13.64%,9.0
Luka Garza,UTIL,4.55%,0.0
