Player,Roster Position,%Drafted,FPTS
Donovan Mitchell,UTIL,82.61%,36.25
Darius Garland,UTIL,73.91%,40.75
Evan Mobley,UTIL,69.57%,48.75
Hamidou Diallo,UTIL,56.52%,26.75
Jaden Ivey,UTIL,52.17%,16.0
Jarrett Allen,UTIL,47.83%,24.75
Marvin Bagley III,UTIL,47.83%,48.25
James Wiseman,UTIL,39.13%,19.75
Killian Hayes,UTIL,34.78%,16.5
Caris LeVert,UTIL,17.39%,20.5
Isaac Okoro,UTIL,13.04%,8.5
Cory Joseph,UTIL,13.04%,17.0
R.J. Hampton,UTIL,13.04%,13.75
Rodney McGruder,UTIL,8.70%,6.0
Dean Wade,UTIL,4.35%,8.25
