Player,Roster Position,%Drafted,FPTS
Domantas Sabonis,UTIL,25.00%,51.0
Anthony Edwards,UTIL,25.00%,43.0
De'Aaron Fox,UTIL,25.00%,38.5
Rudy Gobert,UTIL,25.00%,35.5
Mike Conley,UTIL,25.00%,34.25
Kyle Anderson,UTIL,25.00%,47.25
Malik Monk,UTIL,25.00%,16.75
Kevin Huerter,UTIL,25.00%,39.0
Harrison Barnes,UTIL,25.00%,27.0
Jaden McDaniels,UTIL,25.00%,31.5
Keegan Murray,UTIL,25.00%,6.25
Naz Reid,UTIL,25.00%,17.5
Terence Davis,BENCH,25.00%,5.25
Trey Lyles,BENCH,25.00%,30.0
Nickeil Alexander-Walker,BENCH,25.00%,33.25
Taurean Prince,BENCH,25.00%,10.0
