Player,Roster Position,%Drafted,FPTS
Giannis Antetokounmpo,T1,81.82%,58.25
De'Aaron Fox,T3,81.82%,38.5
Dejounte Murray,T4,81.82%,23.75
Domantas Sabonis,T2,45.45%,51.0
Jalen Green,T5,45.45%,19.0
Jeremy Sochan,T6,45.45%,28.0
Jarrett Allen,T5,36.36%,24.75
Jaden Ivey,T6,36.36%,16.0
Joel Embiid,T1,18.18%,56.0
Trae Young,T2,18.18%,35.5
Anthony Edwards,T2,18.18%,43.0
Donovan Mitchell,T2,18.18%,36.25
Clint Capela,T6,18.18%,37.75
Darius Garland,T3,9.09%,40.75
Rudy Gobert,T3,9.09%,35.5
Evan Mobley,T4,9.09%,48.75
Tyler Herro,T4,9.09%,34.5
Brook Lopez,T5,9.09%,42.5
Khris Middleton,T5,9.09%,14.25
