Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,100.00%,32.25
Keegan Murray,SF,92.86%,6.25
James Harden,PG,85.71%,69.25
Joel Embiid,C,85.71%,56.0
Harrison Barnes,SF,78.57%,27.0
Kyle Anderson,SF,78.57%,47.25
De'Anthony Melton,SG,71.43%,9.0
Jaden McDaniels,SF,71.43%,31.5
Tobias Harris,SF,28.57%,6.0
Kevin Huerter,G,28.57%,39.0
Taurean Prince,F,21.43%,10.0
Mike Conley,PG,14.29%,34.25
Jrue Holiday,PG,7.14%,54.0
Khris Middleton,SF,7.14%,14.25
Giannis Antetokounmpo,PF,7.14%,58.25
Rudy Gobert,C,7.14%,35.5
Domantas Sabonis,C,7.14%,51.0
Malik Monk,G,7.14%,16.75
