Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,78.26%,39.0
Jeremy Sochan,PF,73.91%,28.0
Joel Embiid,C,56.52%,56.0
Jalen Green,PG,52.17%,19.0
Tari Eason,SF,47.83%,38.25
Hamidou Diallo,SG,39.13%,26.75
James Harden,PG,26.09%,69.25
Evan Mobley,C,26.09%,48.75
Marvin Bagley III,PF,26.09%,48.25
Tyrese Maxey,G,21.74%,32.25
Anthony Edwards,G,17.39%,43.0
Zach Collins,C,17.39%,39.0
James Wiseman,C,17.39%,19.75
Caris LeVert,SG,17.39%,20.5
Domantas Sabonis,C,13.04%,51.0
De'Aaron Fox,PG,13.04%,38.5
Jimmy Butler,SF,13.04%,44.25
Tyler Herro,PG,13.04%,34.5
Tobias Harris,SF,13.04%,6.0
Tre Jones,PG,13.04%,19.75
Keegan Murray,PF,13.04%,6.25
Giannis Antetokounmpo,C,8.70%,58.25
Jarrett Allen,C,8.70%,24.75
Clint Capela,UTIL,8.70%,37.75
Jaden Ivey,PG,8.70%,16.0
Kevin Huerter,SF,8.70%,39.0
Harrison Barnes,SF,8.70%,27.0
Bogdan Bogdanovic,SG,8.70%,18.0
Victor Oladipo,PG,8.70%,12.5
Donovan Mitchell,G,4.35%,36.25
Darius Garland,PG,4.35%,40.75
Alperen Sengun,C,4.35%,36.5
Kevin Porter Jr.,G,4.35%,28.0
Bobby Portis,F,4.35%,13.75
Kyle Anderson,SF,4.35%,47.25
Jabari Smith Jr.,PF,4.35%,17.0
Killian Hayes,G,4.35%,16.5
Kevin Love,PF,4.35%,16.25
Keita Bates-Diop,PF,4.35%,30.25
Max Strus,SG,4.35%,12.25
Grayson Allen,G,4.35%,31.25
John Collins,UTIL,4.35%,3.75
Naz Reid,F,4.35%,17.5
Caleb Martin,F,4.35%,24.25
De'Anthony Melton,SF,4.35%,9.0
Joe Ingles,SG,4.35%,12.25
Isaiah Livers,SF,4.35%,17.5
Blake Wesley,PG,4.35%,6.5
Taurean Prince,UTIL,4.35%,10.0
