Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,70.00%,28.0
Devonte' Graham,PG,70.00%,39.0
Joel Embiid,C,60.00%,56.0
Jalen Green,PG,60.00%,19.0
Tari Eason,SF,60.00%,38.25
Tre Jones,PG,50.00%,19.75
Hamidou Diallo,SG,40.00%,26.75
Bam Adebayo,C,30.00%,57.75
Marvin Bagley III,PF,30.00%,48.25
Keegan Murray,SF,30.00%,6.25
Anthony Edwards,G,20.00%,43.0
De'Aaron Fox,G,20.00%,38.5
Tyler Herro,PG,20.00%,34.5
Zach Collins,C,20.00%,39.0
Caris LeVert,SG,20.00%,20.5
Domantas Sabonis,UTIL,10.00%,51.0
James Harden,UTIL,10.00%,69.25
Trae Young,PG,10.00%,35.5
Donovan Mitchell,UTIL,10.00%,36.25
Jimmy Butler,F,10.00%,44.25
Dejounte Murray,UTIL,10.00%,23.75
Evan Mobley,F,10.00%,48.75
Rudy Gobert,C,10.00%,35.5
Bobby Portis,PF,10.00%,13.75
Mike Conley,UTIL,10.00%,34.25
KJ Martin,SF,10.00%,34.75
Jaden Ivey,SG,10.00%,16.0
Tyrese Maxey,G,10.00%,32.25
Tobias Harris,SF,10.00%,6.0
Bogdan Bogdanovic,G,10.00%,18.0
Montrezl Harrell,C,10.00%,0.0
Pat Connaughton,SG,10.00%,3.5
Naz Reid,C,10.00%,17.5
Caleb Martin,PF,10.00%,24.25
Trey Lyles,PF,10.00%,30.0
