Player,Roster Position,%Drafted,FPTS
De'Aaron Fox,PG,66.67%,38.5
Jeremy Sochan,PF,66.67%,28.0
Devonte' Graham,PG,55.56%,39.0
Jalen Green,PG,44.44%,19.0
Tyrese Maxey,PG,44.44%,32.25
Tari Eason,SF,44.44%,38.25
Anthony Edwards,SG,33.33%,43.0
Joel Embiid,C,22.22%,56.0
Darius Garland,PG,22.22%,40.75
Evan Mobley,C,22.22%,48.75
Rudy Gobert,C,22.22%,35.5
Clint Capela,C,22.22%,37.75
KJ Martin,SF,22.22%,34.75
Malik Monk,UTIL,22.22%,16.75
Harrison Barnes,PF,22.22%,27.0
Bogdan Bogdanovic,SG,22.22%,18.0
Hamidou Diallo,SF,22.22%,26.75
Giannis Antetokounmpo,F,11.11%,58.25
James Harden,UTIL,11.11%,69.25
Dejounte Murray,SG,11.11%,23.75
Tyler Herro,SG,11.11%,34.5
Jarrett Allen,C,11.11%,24.75
Zach Collins,C,11.11%,39.0
Jaden Ivey,G,11.11%,16.0
Kyle Anderson,F,11.11%,47.25
Tobias Harris,PF,11.11%,6.0
Kevin Love,PF,11.11%,16.25
Keita Bates-Diop,F,11.11%,30.25
Tre Jones,PG,11.11%,19.75
Kevin Huerter,SF,11.11%,39.0
Keegan Murray,F,11.11%,6.25
John Collins,PF,11.11%,3.75
Naz Reid,F,11.11%,17.5
Caleb Martin,SF,11.11%,24.25
Charles Bassey,UTIL,11.11%,28.5
Isaac Okoro,F,11.11%,8.5
Davion Mitchell,UTIL,11.11%,3.5
