Player,Roster Position,%Drafted,FPTS
Tyrese Maxey,PG,100.00%,32.25
Keegan Murray,SF,100.00%,6.25
Harrison Barnes,SF,88.89%,27.0
Joel Embiid,C,66.67%,56.0
Jaden McDaniels,SF,66.67%,31.5
James Harden,PG,55.56%,69.25
Kyle Anderson,SF,55.56%,47.25
De'Anthony Melton,SG,55.56%,9.0
De'Aaron Fox,PG,55.56%,38.5
Rudy Gobert,C,22.22%,35.5
Kevin Huerter,SG,22.22%,39.0
Naz Reid,F,22.22%,17.5
Mike Conley,G,11.11%,34.25
Jrue Holiday,PG,11.11%,54.0
Tobias Harris,PF,11.11%,6.0
Joe Ingles,UTIL,11.11%,12.25
Trey Lyles,C,11.11%,30.0
Domantas Sabonis,UTIL,11.11%,51.0
Malik Monk,SG,11.11%,16.75
Anthony Edwards,F,11.11%,43.0
