Player,Roster Position,%Drafted,FPTS
Devonte' Graham,PG,100.00%,39.0
Jeremy Sochan,PF,90.91%,28.0
Jalen Green,PG,81.82%,19.0
Jimmy Butler,SF,72.73%,44.25
Bam Adebayo,C,72.73%,57.75
Tari Eason,SF,72.73%,38.25
Tre Jones,PG,63.64%,19.75
Zach Collins,C,54.55%,39.0
Trae Young,PG,45.45%,35.5
Jabari Smith Jr.,PF,45.45%,17.0
Alperen Sengun,C,27.27%,36.5
Dejounte Murray,SG,18.18%,23.75
Victor Oladipo,G,9.09%,12.5
Keita Bates-Diop,SF,9.09%,30.25
De'Andre Hunter,F,9.09%,25.75
Tyler Herro,UTIL,9.09%,34.5
Kevin Porter Jr.,G,9.09%,28.0
Charles Bassey,C,9.09%,28.5
