Player,Roster Position,%Drafted,FPTS
Jeremy Sochan,PF,80.00%,28.0
Devonte' Graham,PG,80.00%,39.0
Tyrese Maxey,SG,60.00%,32.25
Marvin Bagley III,PF,60.00%,48.25
Joel Embiid,UTIL,40.00%,56.0
De'Aaron Fox,PG,40.00%,38.5
Tyler Herro,G,40.00%,34.5
Jalen Green,PG,40.00%,19.0
Hamidou Diallo,SG,40.00%,26.75
Tari Eason,SF,40.00%,38.25
Domantas Sabonis,UTIL,20.00%,51.0
Anthony Edwards,F,20.00%,43.0
Darius Garland,PG,20.00%,40.75
Evan Mobley,C,20.00%,48.75
Alperen Sengun,UTIL,20.00%,36.5
Rudy Gobert,C,20.00%,35.5
Khris Middleton,SF,20.00%,14.25
Zach Collins,C,20.00%,39.0
Kyle Anderson,SF,20.00%,47.25
Killian Hayes,G,20.00%,16.5
James Wiseman,C,20.00%,19.75
Jaden McDaniels,F,20.00%,31.5
Keegan Murray,SF,20.00%,6.25
Naz Reid,PF,20.00%,17.5
